# event, dL (Gpc), error (Gpc)
0.096, 0.3538800114041866, 0.16
0.218, 1.8818384457129198, 0.52
0.098, 0.37651798468995457, 0.185
0.201, 0.7694600277831732, 0.435
0.071, 0.39796233468248554, 0.115
0.499, 3.0285060183075725, 1.38
0.209, 1.252137651108184, 0.355
0.128, 0.6687231270171069, 0.185
0.009, 0.045593304719867576, 0.011
0.214, 1.0018186846065094, 0.4
0.362, 1.4519061080736022, 0.935
0.299, 1.9395472557319609, 0.5
0.155, 0.8040093057397651, 0.155
0.6, 0.8613532871131548, 1.965
0.721, 5.15694207243025, 2.3
0.505, 3.7796674532566765, 1.375
0.403, 2.686147618030663, 1.37
0.036, 0.14662070487572243, 0.07
0.081, 0.40313884934293776, 0.17
0.282, 0.7918413621176298, 0.66
0.278, 1.1469848761283692, 0.55
0.381, 2.2310673325897525, 0.84
0.678, 2.4067294105424923, 2.41
0.349, 3.807324862028403, 1.23
0.453, 2.247597188870497, 1.375
0.65, 4.171107204778789, 2.07
0.246, 0.6976441064184925, 0.485
0.447, 2.040833395859125, 1.86
0.477, 3.3133327618671142, 1.455
0.494, 1.525436188305196, 1.495
0.183, 0.6995212932118541, 0.465
0.381, 3.3657006662241336, 0.745
0.717, 3.871555614893727, 2.26
0.161, 0.7990192630060599, 0.375
0.181, 1.1463228930393474, 0.36
0.653, 3.3685810974714165, 2.295
0.164, 1.2837261016026502, 0.505
0.565, 4.976018316913344, 1.52
0.179, 0.5487599556171384, 0.315
0.565, 2.690846782536196, 2.055
0.56, 2.79344040681029, 1.765
0.054, 0.19143879717961698, 0.045
0.392, 2.4268286402431767, 0.795
0.307, 0.831245492048488, 0.61
0.63, 9.781436716954847, 2.745
0.284, 2.051035894210747, 0.805
0.31, 1.6488754084560633, 0.66
0.122, 0.6429908642712684, 0.22
0.392, 3.188243267603487, 2.35
0.159, 0.8611700897362898, 0.34
