# generated by cosmocatalog
# event type: compact binary mergers, observated by: LIGO and VIRGO, data type: estimated, ideal: False
# estimated means that the luminosity distance, as well as the error, of the event, is the one obtained empirically, and the redshift is estimated using a given cosmological model
# ideal is true if the events are located on top of the theoretical luminosity distance line, or false when spread around this value with a gaussian distribution

# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.094,0.509,0.16
0.223,0.945,0.52
0.097,0.267,0.185
0.202,1.524,0.435
0.072,0.27,0.115
0.502,1.956,1.38
0.202,1.379,0.355
0.121,0.588,0.185
0.008,0.028,0.011
0.218,0.963,0.4
0.368,2.438,0.935
0.282,2.166,0.5
0.152,0.715,0.155
0.641,2.217,1.965
0.744,4.144,2.3
0.504,4.31,1.375
0.435,4.068,1.37
0.036,0.062,0.07
0.083,0.184,0.17
0.287,1.474,0.66
0.278,1.058,0.55
0.387,2.466,0.84
0.71,5.629,2.41
0.41,2.325,1.23
0.52,3.096,1.375
0.666,6.21,2.07
0.231,0.447,0.485
0.538,0.332,1.86
0.525,2.727,1.455
0.521,4.23,1.495
0.2,2.02,0.465
0.383,2.23,0.745
0.76,1.743,2.26
0.162,0.786,0.375
0.176,1.192,0.36
0.692,6.678,2.295
0.199,0.882,0.505
0.567,2.762,1.52
0.169,0.576,0.315
0.611,0.502,2.055
0.586,3.048,1.765
0.053,0.224,0.045
0.371,2.227,0.795
0.309,2.45,0.61
0.7,5.03,2.745
0.321,1.036,0.805
0.318,1.185,0.66
0.122,0.866,0.22
0.583,3.881,2.35
0.162,0.81,0.34
