# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.096,0.45025458062503715,0.16
0.218,0.8679562014055934,0.52
0.098,0.30317719596898035,0.185
0.201,1.3684265347502604,0.435
0.071,0.33736386816531533,0.115
0.499,1.920717600733997,1.38
0.209,1.5334424075000261,0.355
0.128,0.942832566576782,0.185
0.009,0.0463660104676137,0.011
0.214,1.027435006623379,0.4
0.362,3.5021578774716398,0.935
0.299,1.9248059263672008,0.5
0.155,0.5610200193760829,0.155
0.6,4.9018433569010895,1.965
0.721,4.401269219832011,2.3
0.505,3.980087482118085,1.375
0.403,0.4046584227749279,1.37
0.036,0.11833549736876517,0.07
0.081,0.44899421615890134,0.17
0.282,0.7991366597491116,0.66
0.278,1.6483463157100657,0.55
0.381,2.144326010877969,0.84
0.678,4.319484559407251,2.41
0.349,1.323049140813486,1.23
0.453,2.584442971056432,1.375
0.65,3.4827675988933153,2.07
0.246,1.238364700965963,0.485
0.447,0.5690111623436656,1.86
0.477,2.603530614968452,1.455
0.494,2.347198195477528,1.495
0.183,0.7408951283124764,0.465
0.381,3.4102751208749114,0.745
0.717,1.7853684532113876,2.26
0.161,0.45075896567068097,0.375
0.181,0.8025446398707641,0.36
0.653,4.058270496568384,2.295
0.164,0.14261672100156098,0.505
0.565,7.184013829276406,1.52
0.179,1.2378424300928899,0.315
0.565,3.5982782854275226,2.055
0.56,3.2578929788337656,1.765
0.054,0.20639514498426878,0.045
0.392,1.5540974473588811,0.795
0.307,1.0034985310693028,0.61
0.63,4.466836724521361,2.745
0.284,1.779453930023489,0.805
0.31,1.475180808664669,0.66
0.122,0.4662753473580649,0.22
0.392,3.948166944864085,2.35
0.159,0.6022009173494283,0.34
