# generated by cosmocatalog
# event type: compact binary mergers, observated by: LIGO and VIRGO, data type: estimated, ideal: False
# estimated means that the luminosity distance, as well as the error, of the event, is the one obtained empirically, and the redshift is estimated using a given cosmological model
# ideal is true if the events are located on top of the theoretical luminosity distance line, or false when spread around this value with a gaussian distribution

# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.094,0.409,0.016
0.223,0.961,0.052000000000000005
0.097,0.451,0.0185
0.202,1.046,0.043500000000000004
0.072,0.327,0.011500000000000002
0.502,3.168,0.13799999999999998
0.202,1.009,0.0355
0.121,0.583,0.0185
0.008,0.038,0.0011
0.218,1.1,0.04000000000000001
0.368,1.895,0.09350000000000001
0.282,1.443,0.05
0.152,0.721,0.0155
0.641,3.844,0.1965
0.744,4.94,0.22999999999999998
0.504,3.017,0.1375
0.435,2.329,0.137
0.036,0.153,0.007000000000000001
0.083,0.37,0.017
0.287,1.508,0.066
0.278,1.544,0.05500000000000001
0.387,2.128,0.084
0.71,4.32,0.24100000000000002
0.41,2.446,0.123
0.52,3.113,0.1375
0.666,3.909,0.207
0.231,1.131,0.0485
0.538,3.012,0.18600000000000003
0.525,3.089,0.14550000000000002
0.521,2.952,0.14950000000000002
0.2,0.971,0.04650000000000001
0.383,2.129,0.0745
0.76,5.356,0.22599999999999998
0.162,0.763,0.037500000000000006
0.176,0.869,0.036
0.692,4.172,0.2295
0.199,1.034,0.0505
0.567,3.256,0.15200000000000002
0.169,0.898,0.0315
0.611,3.713,0.20550000000000002
0.586,3.504,0.1765
0.053,0.234,0.0045
0.371,1.91,0.07950000000000002
0.309,1.614,0.061
0.7,3.638,0.2745
0.321,1.601,0.08050000000000002
0.318,1.677,0.066
0.122,0.551,0.022000000000000002
0.583,3.906,0.23500000000000001
0.162,0.771,0.034
