# generated by cosmocatalog
# event type: compact binary mergers, observated by: LIGO and VIRGO, data type: estimated, ideal: False
# estimated means that the luminosity distance, as well as the error, of the event, is the one obtained empirically, and the redshift is estimated using a given cosmological model
# ideal is true if the events are located on top of the theoretical luminosity distance line, or false when spread around this value with a gaussian distribution
# modified to have 1/10 of the error

# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.094,0.399,0.016
0.223,1.378,0.052
0.097,0.604,0.0185
0.202,1.0,0.0435
0.072,0.375,0.0115
0.502,3.712,0.138
0.202,0.711,0.0355
0.121,0.595,0.0185
0.008,0.05,0.0011
0.218,0.412,0.04
0.368,0.192,0.0935
0.282,1.176,0.05
0.152,0.648,0.0155
0.641,1.642,0.1965
0.744,4.501,0.23
0.504,0.18,0.1375
0.435,0.982,0.137
0.036,0.311,0.007
0.083,0.358,0.017
0.287,3.465,0.066
0.278,1.532,0.055
0.387,2.08,0.084
0.71,4.013,0.241
0.41,2.254,0.123
0.52,2.249,0.1375
0.666,6.76,0.207
0.231,1.371,0.0485
0.538,0.47,0.186
0.525,2.064,0.1455
0.521,2.759,0.1495
0.2,0.879,0.0465
0.383,2.97,0.0745
0.76,3.934,0.226
0.162,0.9,0.0375
0.176,1.236,0.036
0.692,2.91,0.2295
0.199,0.908,0.0505
0.567,3.159,0.152
0.169,0.561,0.0315
0.611,3.591,0.2055
0.586,5.455,0.1765
0.053,0.232,0.0045
0.371,1.198,0.0795
0.309,2.103,0.061
0.7,3.347,0.2745
0.321,2.376,0.0805
0.318,2.774,0.066
0.122,0.528,0.022
0.583,2.061,0.235
0.162,1.148,0.034
