## generated by gwcatalog
# event type: compact binary mergers
# source data: Gravitational Wave Transient Catalog 3


# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.09,0.43,0.2165064913654076
0.21,1.11,0.721095248983222
0.09,0.445,0.2684163376493376
0.2,0.995,0.6185574080491737
0.07,0.325,0.14901136696569428
0.48,2.86,1.9357194224070198
0.19,0.995,0.4823477652469684
0.11499999999999999,0.565,0.2549756079175925
0.01,0.036,0.011
0.21,1.08,0.5576553600412605
0.35,1.975,1.323204310597049
1.2149999999999999,8.945,6.9662728976686905
0.26999999999999996,1.45,0.6854660269202862
0.15,0.725,0.22029680569697252
0.615,3.855,2.7517176225524254
0.715,4.63,3.2609380996584427
0.48,2.875,1.9321580376055596
0.41000000000000003,2.41,1.9345794177371853
0.024999999999999998,0.16,0.09671503112141115
0.085,0.38,0.23977608841744155
0.7549999999999999,4.95,3.875775384619083
0.27,1.48,0.9226482313112359
0.265,1.43,0.780960821082644
0.37,2.1,1.176050003571147
0.68,4.37,3.395506172560786
0.39,2.25,1.7321481076306855
0.495,2.985,1.9162665517717339
0.64,4.04,2.9189748882885325
0.22499999999999998,1.155,0.6813788315586041
0.51,3.11,2.6327814244144943
0.51,3.025,2.0536146644944493
0.505,2.995,2.103476515469096
0.195,0.985,0.6575630002225977
0.365,2.075,1.0399440796067174
0.735,4.75,3.191101612881043
0.16,0.775,0.526287676221604
0.175,0.85,0.5009608427658169
0.66,4.235,3.247808219310417
0.19,0.975,0.7035284819658513
0.215,1.105,0.7389090754568586
0.545,3.32,2.1434224984877246
0.16999999999999998,0.815,0.448951486138893
0.5750000000000001,3.635,2.890913825174516
0.56,3.455,2.500016828335735
0.8599999999999999,5.885,4.972056164892982
0.0495,0.235,0.06278063385866442
0.355,1.995,1.1158953373662281
0.3,1.61,0.8562096858576047
0.6599999999999999,4.295,3.880521451756343
0.31000000000000005,1.685,1.1259955052319308
0.305,1.67,0.9147587504107926
0.76,5.095,4.4653647059375565
0.15,0.735,0.45127345412860115
0.12,0.57,0.2984813099025782
0.19,0.945,0.5276042278624112
0.675,4.365,3.6476483601557366
0.54,3.43,3.2978091773330407
0.15,0.78,0.4621933906939374
0.2,1.005,0.6928073509196734
0.22000000000000003,1.125,0.6387680163252483
0.28,1.53,1.2562641401297068
0.295,1.635,1.2394063479862394
0.295,1.62,1.0522022851155846
0.625,4.0,3.5490878423999286
0.155,0.755,0.41267061996578247
0.375,2.1,1.956021451704845
0.125,0.62,0.3170265077494222
0.345,1.945,1.2126596355651302
0.065,0.335,0.1716677518861455
0.12,0.595,0.28760405484130247
0.495,3.0,2.387915753922501
0.6849999999999999,4.4,2.81773048475292
0.235,1.235,0.6161839989121672
0.065,0.315,0.1716677518861455
0.56,3.55,2.7811629415906163
0.16999999999999998,0.855,0.46320345087911496
0.09,0.405,0.21283810937743103
0.405,2.305,1.318839487479475
0.79,5.35,4.4856413168029485
0.565,3.45,2.5884657282145507
0.2,0.985,0.5443233340231516
0.67,4.3,3.5049666525794962
0.57,3.5,2.2386670055658704
0.9750000000000001,6.85,5.559744049029097
0.685,4.3,3.542004329226877
0.305,1.635,0.8047555568847619
0.215,1.14,0.7424026008794081
0.30000000000000004,1.64,1.2029755821463513
0.41000000000000003,2.4,1.9559390388077913
0.815,5.45,3.7345738367885004
0.22,1.11,0.4781864312201596
0.22,1.135,0.6387680163190145
0.87,6.1,6.404095753210065
