# generated by cosmocatalog
# event type: compact binary mergers, observated by: LIGO, data type: forecast, number of events: 50

# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.184,0.669,0.4534586684623156
0.065,0.221,0.05477113312846072
0.139,1.168,0.24598754533886963
0.091,0.405,0.10046490854904168
0.123,0.586,0.1876093181402275
0.107,0.327,0.14025629307575005
0.064,0.327,0.053451980061925204
0.077,0.363,0.07244375867718722
0.105,0.376,0.1367211675891564
0.137,0.507,0.23830935821754798
0.046,0.244,0.03363244071625492
0.13,0.435,0.21074847720168471
0.068,0.244,0.05785421843925619
0.081,0.298,0.08135082901100626
0.1,0.533,0.12166551730465197
0.105,0.428,0.13551200021219922
0.159,0.675,0.3282075464540179
0.132,0.779,0.21787276291243865
0.092,0.119,0.10308567878787189
0.035,0.164,0.026958718321591024
0.149,0.533,0.284393787454652
0.087,0.411,0.09266803965162697
0.099,0.6,0.11905126617905262
0.139,0.825,0.24612633326947417
0.132,0.475,0.21770226650797916
0.112,0.307,0.1549047408649242
0.022,0.126,0.023259552358925815
0.094,0.701,0.10811386842091181
0.073,0.346,0.06674225274310551
0.114,0.676,0.16149231879607748
0.115,0.262,0.16268502272718824
0.171,0.977,0.3865803856075772
0.082,0.399,0.08253600672502849
0.064,0.281,0.05239470284052851
0.057,0.172,0.044460074108356826
0.11,0.441,0.14776407364278804
0.178,0.83,0.41906160820334615
0.073,0.33,0.06705121109795695
0.049,0.204,0.035864522195549364
0.047,0.26,0.034160787798238064
0.051,0.242,0.037562787326603224
0.059,0.267,0.04687167755748747
0.089,0.523,0.09605739514907823
0.043,0.236,0.03126303902473061
0.074,0.328,0.06835210926413253
0.079,0.287,0.07720594419499856
0.109,0.676,0.147364456086871
0.1,0.598,0.12252661184137062
0.104,0.334,0.131765696549067
0.142,0.809,0.25804100476517755
