## generated by gwcatalog
# event type: compact binary mergers
# observed by: LIGO (forecast)
# number of events: 50
# cosmology: ΛCDM (Ωₘ = 0.284, h = 0.7)


# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.108,0.38,0.14396661612443712
0.125,0.545,0.19473108852839824
0.09,0.514,0.10002573339755211
0.044,0.203,0.03202626324962048
0.074,0.387,0.06747672809672396
0.09,0.426,0.10007591205306347
0.128,0.297,0.20613730669163144
0.086,0.312,0.09102893546552784
0.119,0.202,0.17672062549898712
0.111,0.245,0.15244646446542207
0.061,0.232,0.04939525142660496
0.061,0.254,0.048828483651496446
0.118,0.681,0.17214056729834679
0.09,0.57,0.0988378256916065
0.131,0.671,0.21446556118443688
0.081,0.324,0.08026039558002221
0.029,0.146,0.024861316153487644
0.083,0.295,0.08496631064699584
0.107,0.15,0.1406971353289724
0.122,0.521,0.18674369657069909
0.174,1.471,0.39850986112831566
0.07,0.529,0.061715844691342135
0.144,0.576,0.2650754313415908
0.131,0.536,0.21750343736162647
0.094,0.415,0.1075001401283884
0.15,0.8,0.29092726539929836
0.034,0.156,0.02648108643184609
0.107,0.498,0.13966089120073374
0.099,0.297,0.12091489588798639
0.052,0.199,0.03916863171349098
0.142,0.486,0.2572391612938437
0.035,0.213,0.027071036823633664
0.072,0.396,0.06511405346234918
0.136,0.445,0.23206757451015161
0.129,0.119,0.2089977894350585
0.068,0.304,0.058888337167048097
0.151,1.056,0.2949954415574969
0.047,0.261,0.034692300840862805
0.151,0.813,0.2931531072166748
0.079,0.547,0.07781479639692722
0.126,0.588,0.19821431749141738
0.075,0.42,0.0691242227263854
0.078,0.295,0.07465295430745723
0.11,0.575,0.14802914049027102
0.088,0.476,0.09435038043228289
0.08,0.279,0.07806571797593129
0.11,0.487,0.14805054870674553
0.046,0.135,0.033678108028005894
0.077,0.223,0.07368659955510917
0.127,0.552,0.20241475623177685
