,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.002,0.696,0.702,0.0,0.0,7235.0,4270.0,1.0
Omega_m,0.285,0.01,0.267,0.301,0.0,0.0,3043.0,2450.0,1.0
M,0.003,0.497,-0.399,0.337,0.018,0.014,2911.0,2154.0,1.0
dL[0],8.185,0.089,8.089,8.273,0.003,0.002,5058.0,3162.0,1.0
dL[1],2.904,0.011,2.889,2.918,0.0,0.0,6763.0,3687.0,1.0
dL[2],8.003,0.085,7.91,8.088,0.003,0.002,5074.0,3176.0,1.0
dL[3],5.967,0.049,5.911,6.018,0.001,0.001,5330.0,3196.0,1.0
dL[4],15.633,0.266,15.377,15.883,0.009,0.006,4744.0,2939.0,1.0
dL[5],5.957,0.049,5.901,6.008,0.001,0.001,5332.0,3203.0,1.0
dL[6],7.455,0.075,7.373,7.531,0.002,0.002,5125.0,3153.0,1.0
dL[7],8.132,0.088,8.036,8.219,0.003,0.002,5063.0,3165.0,1.0
dL[8],11.672,0.165,11.499,11.825,0.005,0.004,4856.0,3036.0,1.0
dL[9],10.06,0.128,9.923,10.182,0.004,0.003,4934.0,3059.0,1.0
dL[10],2.935,0.012,2.92,2.949,0.0,0.0,6727.0,3696.0,1.0
dL[11],13.869,0.22,13.652,14.077,0.007,0.005,4784.0,2999.0,1.0
dL[12],1.919,0.005,1.912,1.926,0.0,0.0,8616.0,4039.0,1.0
dL[13],10.06,0.128,9.924,10.183,0.004,0.003,4934.0,3059.0,1.0
dL[14],2.696,0.01,2.683,2.708,0.0,0.0,7038.0,3924.0,1.0
dL[15],6.273,0.054,6.213,6.33,0.002,0.001,5277.0,3167.0,1.0
dL[16],10.383,0.135,10.24,10.512,0.004,0.003,4917.0,3061.0,1.0
dL[17],11.596,0.163,11.424,11.747,0.005,0.004,4859.0,3035.0,1.0
dL[18],0.46,0.001,0.459,0.462,0.0,0.0,8667.0,4945.0,1.0
dL[19],2.374,0.007,2.364,2.384,0.0,0.0,7564.0,3923.0,1.0
