## generated by gwcatalog
# event type: compact binary mergers
# observed by: LIGO (forecast)
# number of events: 50
# cosmology: ΛCDM (Ωₘ = 0.284, h = 0.7)


# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.097,0.347,0.11527995414330586
0.079,0.296,0.07617996706913718
0.103,0.428,0.12900323406965888
0.054,0.211,0.04049232782538124
0.067,0.318,0.056659692400639436
0.101,0.367,0.12515535634342276
0.082,0.348,0.08213261578048253
0.024,0.131,0.023573350139954038
0.094,0.445,0.10931325215236014
0.082,0.394,0.08316391358252134
0.063,0.195,0.05176896526592988
0.174,1.056,0.4015115367201587
0.15,1.269,0.2895734248632025
0.169,0.825,0.3733803549894333
0.031,0.111,0.02535796131865957
0.078,0.277,0.07570912597140451
0.066,0.275,0.05619368351539536
0.138,0.981,0.24231012949092814
0.092,0.415,0.10287036278738367
0.035,0.157,0.02704075733331353
0.109,0.419,0.14529790327966022
0.049,0.248,0.035603890607041354
0.099,0.399,0.1189272073093422
0.086,0.396,0.09047797973714487
0.018,0.095,0.02267666426323345
0.048,0.251,0.03489636473218114
0.162,1.143,0.34075502046261763
0.105,0.507,0.13468369046631076
0.045,0.228,0.0325175560918947
0.119,0.745,0.176323110415147
0.042,0.219,0.030555678508324195
0.142,0.877,0.25585112109289143
0.021,0.081,0.02307973685132203
0.164,1.016,0.3492176284861021
0.072,0.317,0.0640469921734351
0.026,0.148,0.02405734309557918
0.139,0.857,0.24510962708720924
0.075,0.206,0.07017463531167559
0.133,0.689,0.22301519613605864
0.132,0.587,0.21893446752518628
0.057,0.319,0.04451856061022668
0.147,1.523,0.2754737885584029
0.066,0.236,0.05579602290794589
0.07,0.347,0.06115835214915511
0.12,0.616,0.17904039916538955
0.066,0.291,0.05631266902493829
0.084,0.244,0.08623996423611126
0.101,0.423,0.12407921496511477
0.057,0.257,0.04449025951848115
0.075,0.451,0.06920941055955121
