,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.009,0.696,0.702,0.0,0.0,4070.0,4174.0,1.0
Omega_m,0.285,0.015,0.267,0.302,0.001,0.0,2619.0,2503.0,1.0
M,-0.017,0.53,-0.399,0.345,0.026,0.02,2159.0,1975.0,1.0
dL[0],8.177,0.182,8.091,8.278,0.008,0.006,3295.0,3097.0,1.0
dL[1],2.903,0.038,2.889,2.918,0.001,0.001,4221.0,3815.0,1.0
dL[2],7.995,0.176,7.91,8.09,0.008,0.005,3304.0,3120.0,1.0
dL[3],5.962,0.115,5.912,6.021,0.005,0.003,3456.0,3008.0,1.0
dL[4],15.613,0.448,15.359,15.872,0.021,0.015,2934.0,3016.0,1.0
dL[5],5.952,0.115,5.901,6.01,0.005,0.003,3457.0,3008.0,1.0
dL[6],7.448,0.159,7.372,7.532,0.007,0.005,3334.0,3145.0,1.0
dL[7],8.124,0.18,8.038,8.224,0.008,0.006,3298.0,3099.0,1.0
dL[8],11.658,0.3,11.499,11.83,0.013,0.01,3153.0,3018.0,1.0
dL[9],10.049,0.244,9.923,10.184,0.011,0.008,3218.0,3091.0,1.0
dL[10],2.934,0.039,2.919,2.949,0.001,0.001,4200.0,3826.0,1.0
dL[11],13.852,0.381,13.643,14.073,0.017,0.013,3025.0,3022.0,1.0
dL[12],1.919,0.019,1.912,1.926,0.001,0.0,6526.0,5298.0,1.0
dL[13],10.049,0.244,9.923,10.185,0.011,0.008,3218.0,3091.0,1.0
dL[14],2.695,0.034,2.682,2.708,0.001,0.001,4407.0,3783.0,1.0
dL[15],6.268,0.124,6.214,6.333,0.005,0.004,3425.0,3018.0,1.0
dL[16],10.372,0.255,10.239,10.514,0.011,0.008,3206.0,3059.0,1.0
dL[17],11.582,0.297,11.424,11.752,0.013,0.01,3157.0,3018.0,1.0
dL[18],0.461,0.004,0.459,0.462,0.0,0.0,4845.0,4237.0,1.0
dL[19],2.374,0.027,2.364,2.385,0.001,0.001,4902.0,3726.0,1.0
dL[20],0.88,0.006,0.876,0.882,0.0,0.0,8171.0,4722.0,1.0
dL[21],3.795,0.058,3.772,3.82,0.002,0.002,3827.0,3391.0,1.0
dL[22],14.753,0.415,14.518,14.99,0.019,0.014,2975.0,3011.0,1.0
dL[23],2.592,0.032,2.58,2.604,0.001,0.001,4541.0,3728.0,1.0
dL[24],2.733,0.035,2.72,2.746,0.001,0.001,4366.0,3779.0,1.0
dL[25],8.303,0.186,8.213,8.405,0.008,0.006,3289.0,3067.0,1.0
dL[26],7.218,0.152,7.145,7.297,0.006,0.005,3350.0,3107.0,1.0
dL[27],8.687,0.198,8.588,8.795,0.009,0.006,3269.0,3077.0,1.0
dL[28],11.524,0.295,11.366,11.692,0.013,0.01,3159.0,3018.0,1.0
dL[29],12.833,0.343,12.646,13.029,0.015,0.011,3092.0,3004.0,1.0
dL[30],10.518,0.26,10.382,10.664,0.011,0.008,3201.0,3061.0,1.0
dL[31],1.191,0.009,1.187,1.195,0.0,0.0,11440.0,6146.0,1.0
dL[32],7.835,0.171,7.753,7.927,0.007,0.005,3312.0,3129.0,1.0
dL[33],0.614,0.004,0.611,0.616,0.0,0.0,5316.0,4444.0,1.0
dL[34],5.938,0.114,5.888,5.996,0.005,0.003,3459.0,2997.0,1.0
dL[35],10.334,0.253,10.202,10.476,0.011,0.008,3207.0,3059.0,1.0
dL[36],12.449,0.329,12.274,12.64,0.015,0.011,3113.0,3029.0,1.0
dL[37],1.612,0.014,1.607,1.618,0.0,0.0,9104.0,5555.0,1.0
dL[38],7.622,0.164,7.546,7.712,0.007,0.005,3324.0,3141.0,1.0
dL[39],8.013,0.177,7.928,8.109,0.008,0.005,3303.0,3120.0,1.0
dL[40],1.094,0.008,1.091,1.098,0.0,0.0,10717.0,5580.0,1.0
dL[41],0.487,0.004,0.486,0.489,0.0,0.0,4944.0,4199.0,1.0
dL[42],15.3,0.436,15.052,15.55,0.02,0.015,2948.0,3034.0,1.0
dL[43],3.377,0.048,3.359,3.398,0.002,0.001,3967.0,3643.0,1.0
dL[44],5.773,0.11,5.725,5.828,0.004,0.003,3478.0,3068.0,1.0
dL[45],2.101,0.022,2.093,2.11,0.001,0.0,5404.0,4257.0,1.0
dL[46],0.811,0.005,0.808,0.814,0.0,0.0,6931.0,4586.0,1.0
dL[47],3.417,0.049,3.399,3.438,0.002,0.001,3952.0,3556.0,1.0
dL[48],7.158,0.15,7.088,7.238,0.006,0.005,3354.0,3079.0,1.0
dL[49],14.215,0.394,13.999,14.446,0.018,0.013,3005.0,3022.0,1.0
dL[50],8.298,0.186,8.208,8.4,0.008,0.006,3289.0,3078.0,1.0
dL[51],9.283,0.218,9.173,9.404,0.009,0.007,3245.0,3089.0,1.0
dL[52],10.447,0.257,10.313,10.591,0.011,0.008,3203.0,3044.0,1.0
dL[53],10.671,0.265,10.532,10.82,0.012,0.009,3190.0,3061.0,1.0
dL[54],4.49,0.075,4.458,4.523,0.003,0.002,3657.0,3311.0,1.0
dL[55],3.488,0.051,3.468,3.509,0.002,0.001,3926.0,3384.0,1.0
dL[56],2.829,0.037,2.815,2.843,0.001,0.001,4276.0,3708.0,1.0
dL[57],1.183,0.009,1.179,1.187,0.0,0.0,11359.0,6240.0,1.0
dL[58],11.778,0.304,11.616,11.952,0.014,0.01,3146.0,3014.0,1.0
dL[59],11.042,0.278,10.896,11.2,0.012,0.009,3178.0,3048.0,1.0
dL[60],0.479,0.004,0.477,0.48,0.0,0.0,4921.0,4196.0,1.0
dL[61],0.664,0.005,0.662,0.667,0.0,0.0,5564.0,4557.0,1.0
dL[62],8.607,0.196,8.509,8.713,0.008,0.006,3275.0,3071.0,1.0
dL[63],2.587,0.032,2.575,2.598,0.001,0.001,4549.0,3740.0,1.0
dL[64],11.906,0.309,11.742,12.083,0.014,0.01,3139.0,3014.0,1.0
dL[65],9.017,0.209,8.912,9.132,0.009,0.007,3255.0,3107.0,1.0
dL[66],7.24,0.153,7.168,7.32,0.006,0.005,3349.0,3107.0,1.0
dL[67],2.612,0.032,2.6,2.624,0.001,0.001,4514.0,3744.0,1.0
dL[68],2.498,0.03,2.486,2.509,0.001,0.001,4686.0,3757.0,1.0
dL[69],12.149,0.318,11.98,12.332,0.014,0.01,3129.0,3013.0,1.0
dL[70],6.606,0.134,6.547,6.677,0.006,0.004,3396.0,3109.0,1.0
dL[71],14.207,0.394,13.99,14.437,0.018,0.013,3005.0,3022.0,1.0
dL[72],7.55,0.162,7.474,7.637,0.007,0.005,3328.0,3143.0,1.0
dL[73],0.771,0.005,0.768,0.773,0.0,0.0,6464.0,4558.0,1.0
dL[74],10.853,0.271,10.709,11.006,0.012,0.009,3183.0,3062.0,1.0
dL[75],2.094,0.022,2.085,2.102,0.001,0.0,5417.0,4226.0,1.0
dL[76],7.944,0.174,7.859,8.038,0.007,0.005,3306.0,3120.0,1.0
dL[77],5.829,0.111,5.781,5.885,0.005,0.003,3471.0,3015.0,1.0
dL[78],5.958,0.115,5.907,6.015,0.005,0.003,3457.0,3008.0,1.0
dL[79],2.838,0.037,2.825,2.853,0.001,0.001,4269.0,3733.0,1.0
dL[80],13.987,0.386,13.775,14.211,0.018,0.013,3018.0,3022.0,1.0
dL[81],15.517,0.444,15.266,15.774,0.02,0.015,2938.0,3016.0,1.0
dL[82],8.592,0.195,8.495,8.699,0.008,0.006,3276.0,3071.0,1.0
dL[83],3.653,0.055,3.631,3.676,0.002,0.001,3873.0,3407.0,1.0
dL[84],1.199,0.009,1.195,1.203,0.0,0.0,11523.0,6164.0,1.0
dL[85],15.213,0.433,14.968,15.461,0.02,0.014,2952.0,3019.0,1.0
dL[86],8.402,0.189,8.31,8.506,0.008,0.006,3284.0,3076.0,1.0
dL[87],3.991,0.063,3.965,4.017,0.002,0.002,3769.0,3187.0,1.0
dL[88],0.756,0.005,0.754,0.759,0.0,0.0,6327.0,4538.0,1.0
dL[89],10.472,0.258,10.337,10.616,0.011,0.008,3202.0,3061.0,1.0
dL[90],15.536,0.445,15.284,15.793,0.02,0.015,2937.0,3016.0,1.0
dL[91],14.191,0.393,13.974,14.42,0.018,0.013,3006.0,3022.0,1.0
dL[92],4.594,0.078,4.561,4.629,0.003,0.002,3635.0,3242.0,1.0
dL[93],8.603,0.196,8.506,8.71,0.008,0.006,3275.0,3071.0,1.0
dL[94],9.85,0.237,9.727,9.981,0.01,0.008,3226.0,3091.0,1.0
dL[95],0.634,0.004,0.631,0.636,0.0,0.0,5375.0,4439.0,1.0
dL[96],14.234,0.395,14.012,14.459,0.018,0.013,3004.0,3022.0,1.0
dL[97],8.247,0.184,8.158,8.348,0.008,0.006,3291.0,3097.0,1.0
