,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.692,0.008,0.684,0.701,0.0,0.0,4678.0,3857.0,1.0
Omega_m,0.285,0.013,0.268,0.303,0.0,0.0,4065.0,3168.0,1.0
M,-0.35,0.413,-0.763,0.037,0.014,0.015,3758.0,2874.0,1.0
dL[0],5.956,0.061,5.907,6.01,0.002,0.001,6816.0,4784.0,1.0
dL[1],2.157,0.012,2.141,2.172,0.0,0.0,7766.0,5449.0,1.0
dL[2],5.591,0.054,5.547,5.639,0.002,0.001,7084.0,4842.0,1.0
dL[3],10.991,0.168,10.84,11.138,0.006,0.004,5048.0,3919.0,1.0
dL[4],9.167,0.126,9.064,9.283,0.004,0.003,5372.0,4456.0,1.0
dL[5],12.238,0.198,12.063,12.419,0.007,0.005,4939.0,3881.0,1.0
dL[6],2.729,0.016,2.711,2.748,0.0,0.0,10182.0,6624.0,1.0
dL[7],5.487,0.052,5.444,5.534,0.002,0.001,7205.0,4964.0,1.0
dL[8],11.247,0.174,11.093,11.402,0.006,0.004,5020.0,3908.0,1.0
dL[9],2.774,0.017,2.756,2.794,0.0,0.0,10284.0,6302.0,1.0
dL[10],14.546,0.256,14.314,14.781,0.009,0.006,4819.0,3939.0,1.0
dL[11],10.294,0.151,10.163,10.43,0.005,0.004,5145.0,3919.0,1.0
dL[12],9.853,0.141,9.73,9.977,0.005,0.003,5221.0,3968.0,1.0
dL[13],14.591,0.257,14.358,14.828,0.009,0.006,4817.0,3939.0,1.0
dL[14],5.49,0.053,5.447,5.537,0.002,0.001,7203.0,4964.0,1.0
dL[15],13.122,0.22,12.923,13.32,0.008,0.005,4884.0,3895.0,1.0
dL[16],5.153,0.047,5.115,5.196,0.002,0.001,7549.0,5062.0,1.0
dL[17],14.767,0.262,14.53,15.008,0.009,0.006,4810.0,3933.0,1.0
dL[18],8.936,0.121,8.838,9.047,0.004,0.003,5435.0,4446.0,1.0
dL[19],12.111,0.195,11.941,12.291,0.007,0.005,4949.0,3875.0,1.0
dL[20],12.002,0.192,11.834,12.179,0.007,0.005,4957.0,3892.0,1.0
dL[21],5.544,0.053,5.501,5.592,0.002,0.001,7134.0,4852.0,1.0
dL[22],6.762,0.076,6.701,6.828,0.003,0.002,6327.0,4652.0,1.0
dL[23],5.166,0.047,5.128,5.209,0.002,0.001,7537.0,5046.0,1.0
dL[24],12.064,0.194,11.895,12.243,0.007,0.005,4952.0,3881.0,1.0
