,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.692,0.008,0.683,0.7,0.0,0.0,2889.0,2145.0,1.0
Omega_m,0.285,0.01,0.267,0.302,0.0,0.0,4082.0,3344.0,1.0
M,-0.368,0.417,-0.769,0.005,0.019,0.013,2358.0,1974.0,1.0
dL[0],0.51,0.005,0.505,0.515,0.0,0.0,2961.0,2283.0,1.0
dL[1],0.397,0.004,0.392,0.401,0.0,0.0,2940.0,2287.0,1.0
dL[2],0.277,0.003,0.274,0.279,0.0,0.0,2921.0,2289.0,1.0
dL[3],0.531,0.005,0.525,0.536,0.0,0.0,2964.0,2287.0,1.0
dL[4],0.339,0.004,0.335,0.342,0.0,0.0,2931.0,2287.0,1.0
dL[5],0.262,0.003,0.26,0.265,0.0,0.0,2920.0,2286.0,1.0
dL[6],0.281,0.003,0.278,0.284,0.0,0.0,2922.0,2293.0,1.0
dL[7],0.859,0.007,0.851,0.867,0.0,0.0,3035.0,2360.0,1.0
dL[8],0.128,0.002,0.127,0.13,0.0,0.0,2903.0,2201.0,1.0
dL[9],0.586,0.006,0.58,0.592,0.0,0.0,2974.0,2265.0,1.0
dL[10],0.526,0.005,0.52,0.531,0.0,0.0,2963.0,2287.0,1.0
dL[11],0.638,0.006,0.631,0.644,0.0,0.0,2985.0,2262.0,1.0
dL[12],0.49,0.005,0.485,0.495,0.0,0.0,2957.0,2284.0,1.0
dL[13],0.305,0.003,0.302,0.308,0.0,0.0,2925.0,2294.0,1.0
dL[14],0.334,0.004,0.33,0.337,0.0,0.0,2930.0,2290.0,1.0
dL[15],0.426,0.005,0.421,0.43,0.0,0.0,2945.0,2283.0,1.0
dL[16],0.291,0.003,0.288,0.294,0.0,0.0,2923.0,2293.0,1.0
dL[17],0.446,0.005,0.441,0.45,0.0,0.0,2949.0,2285.0,1.0
dL[18],0.305,0.003,0.302,0.308,0.0,0.0,2925.0,2294.0,1.0
dL[19],0.315,0.004,0.311,0.318,0.0,0.0,2927.0,2290.0,1.0
dL[20],0.411,0.004,0.407,0.415,0.0,0.0,2942.0,2287.0,1.0
dL[21],0.3,0.003,0.297,0.303,0.0,0.0,2924.0,2294.0,1.0
dL[22],0.192,0.002,0.19,0.195,0.0,0.0,2910.0,2277.0,1.0
dL[23],0.206,0.002,0.204,0.209,0.0,0.0,2912.0,2285.0,1.0
dL[24],0.324,0.004,0.321,0.328,0.0,0.0,2928.0,2289.0,1.0
dL[25],0.426,0.005,0.421,0.43,0.0,0.0,2945.0,2283.0,1.0
dL[26],0.225,0.003,0.222,0.227,0.0,0.0,2914.0,2259.0,1.0
dL[27],0.684,0.006,0.678,0.691,0.0,0.0,2995.0,2273.0,1.0
dL[28],0.387,0.004,0.383,0.391,0.0,0.0,2938.0,2288.0,1.0
dL[29],0.272,0.003,0.269,0.275,0.0,0.0,2921.0,2285.0,1.0
dL[30],0.291,0.003,0.288,0.294,0.0,0.0,2923.0,2293.0,1.0
dL[31],0.526,0.005,0.52,0.531,0.0,0.0,2963.0,2287.0,1.0
dL[32],0.061,0.001,0.061,0.062,0.0,0.0,2895.0,2168.0,1.0
dL[33],0.441,0.005,0.436,0.445,0.0,0.0,2948.0,2285.0,1.0
dL[34],0.536,0.005,0.53,0.541,0.0,0.0,2965.0,2281.0,1.0
dL[35],0.602,0.006,0.596,0.607,0.0,0.0,2977.0,2260.0,1.0
dL[36],0.234,0.003,0.232,0.237,0.0,0.0,2916.0,2260.0,1.0
dL[37],0.466,0.005,0.461,0.47,0.0,0.0,2952.0,2287.0,1.0
dL[38],0.602,0.006,0.596,0.607,0.0,0.0,2977.0,2260.0,1.0
dL[39],0.305,0.003,0.302,0.308,0.0,0.0,2925.0,2294.0,1.0
dL[40],0.286,0.003,0.283,0.289,0.0,0.0,2923.0,2293.0,1.0
dL[41],0.387,0.004,0.383,0.391,0.0,0.0,2938.0,2288.0,1.0
dL[42],0.115,0.001,0.114,0.116,0.0,0.0,2901.0,2199.0,1.0
dL[43],0.664,0.006,0.657,0.67,0.0,0.0,2990.0,2271.0,1.0
dL[44],0.461,0.005,0.456,0.465,0.0,0.0,2952.0,2287.0,1.0
dL[45],0.822,0.007,0.814,0.829,0.0,0.0,3026.0,2365.0,1.0
dL[46],0.22,0.003,0.218,0.223,0.0,0.0,2914.0,2285.0,1.0
dL[47],0.695,0.006,0.688,0.701,0.0,0.0,2997.0,2289.0,1.0
dL[48],0.133,0.002,0.132,0.134,0.0,0.0,2903.0,2204.0,1.0
dL[49],0.315,0.004,0.311,0.318,0.0,0.0,2927.0,2290.0,1.0
dL[50],5.958,0.04,5.905,6.01,0.002,0.001,3710.0,2794.0,1.0
dL[51],2.159,0.01,2.143,2.174,0.0,0.0,3794.0,3000.0,1.0
dL[52],5.593,0.035,5.546,5.64,0.001,0.001,3823.0,2814.0,1.0
dL[53],10.992,0.137,10.843,11.138,0.006,0.004,3179.0,2493.0,1.0
dL[54],9.169,0.098,9.054,9.274,0.004,0.003,3280.0,2531.0,1.0
dL[55],12.238,0.165,12.063,12.414,0.007,0.005,3131.0,2463.0,1.0
dL[56],2.731,0.011,2.713,2.75,0.0,0.0,7647.0,4318.0,1.0
dL[57],5.489,0.034,5.443,5.535,0.001,0.001,3856.0,2922.0,1.0
dL[58],11.247,0.143,11.095,11.401,0.006,0.004,3168.0,2493.0,1.0
dL[59],2.776,0.011,2.758,2.795,0.0,0.0,7895.0,4467.0,1.0
dL[60],14.545,0.221,14.308,14.768,0.009,0.007,3071.0,2482.0,1.0
dL[61],10.295,0.122,10.157,10.423,0.005,0.004,3211.0,2488.0,1.0
dL[62],9.854,0.112,9.725,9.972,0.005,0.003,3235.0,2489.0,1.0
dL[63],14.59,0.223,14.353,14.815,0.01,0.007,3070.0,2482.0,1.0
dL[64],5.493,0.034,5.447,5.538,0.001,0.001,3855.0,2922.0,1.0
dL[65],13.122,0.186,12.926,13.318,0.008,0.006,3105.0,2492.0,1.0
dL[66],5.155,0.029,5.113,5.196,0.001,0.001,4004.0,3098.0,1.0
dL[67],14.766,0.227,14.525,14.995,0.01,0.007,3066.0,2485.0,1.0
dL[68],8.938,0.093,8.832,9.042,0.004,0.003,3297.0,2533.0,1.0
dL[69],12.111,0.163,11.939,12.284,0.007,0.005,3134.0,2445.0,1.0
dL[70],12.002,0.16,11.833,12.174,0.007,0.005,3139.0,2442.0,1.0
dL[71],5.547,0.034,5.5,5.593,0.001,0.001,3837.0,2855.0,1.0
dL[72],6.764,0.053,6.7,6.83,0.002,0.002,3543.0,2625.0,1.0
dL[73],5.169,0.029,5.127,5.21,0.001,0.001,3979.0,3103.0,1.0
dL[74],12.064,0.161,11.893,12.236,0.007,0.005,3136.0,2445.0,1.0
dL[75],15.232,0.239,14.983,15.476,0.01,0.007,3057.0,2379.0,1.0
dL[76],13.236,0.189,13.038,13.436,0.008,0.006,3102.0,2496.0,1.0
dL[77],6.41,0.047,6.349,6.468,0.002,0.001,3606.0,2678.0,1.0
dL[78],7.952,0.074,7.865,8.038,0.003,0.002,3389.0,2543.0,1.0
dL[79],5.6,0.035,5.552,5.647,0.001,0.001,3821.0,2814.0,1.0
dL[80],4.502,0.022,4.47,4.536,0.001,0.0,4493.0,3624.0,1.0
dL[81],3.431,0.013,3.408,3.454,0.0,0.0,10556.0,6665.0,1.0
dL[82],9.685,0.109,9.56,9.8,0.005,0.003,3246.0,2480.0,1.0
dL[83],12.419,0.17,12.24,12.6,0.007,0.005,3126.0,2479.0,1.0
dL[84],10.22,0.12,10.084,10.346,0.005,0.004,3215.0,2492.0,1.0
dL[85],8.847,0.091,8.744,8.95,0.004,0.003,3304.0,2531.0,1.0
dL[86],9.995,0.115,9.863,10.116,0.005,0.003,3227.0,2490.0,1.0
dL[87],4.884,0.026,4.847,4.923,0.001,0.001,4149.0,3078.0,1.0
dL[88],14.366,0.217,14.135,14.586,0.009,0.007,3075.0,2482.0,1.0
dL[89],6.794,0.054,6.728,6.86,0.002,0.002,3538.0,2614.0,1.0
dL[90],6.715,0.052,6.651,6.78,0.002,0.001,3551.0,2676.0,1.0
dL[91],8.649,0.088,8.55,8.749,0.004,0.003,3321.0,2534.0,1.0
dL[92],14.895,0.23,14.655,15.132,0.01,0.007,3064.0,2496.0,1.0
dL[93],4.923,0.026,4.886,4.963,0.001,0.001,4127.0,3087.0,1.0
dL[94],13.615,0.198,13.401,13.817,0.008,0.006,3092.0,2492.0,1.0
