,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.661,0.007,0.65,0.671,0.0,0.0,5285.0,3614.0,1.0
Omega_m,0.284,0.01,0.268,0.302,0.0,0.0,4582.0,3115.0,1.0
M,-1.363,0.38,-1.703,-1.062,0.012,0.009,4216.0,3314.0,1.0
dL[0],2.395,0.014,2.374,2.415,0.0,0.0,6752.0,4693.0,1.0
dL[1],6.254,0.041,6.194,6.307,0.001,0.001,7763.0,3932.0,1.0
dL[2],7.259,0.054,7.182,7.33,0.001,0.001,7174.0,4104.0,1.0
dL[3],1.218,0.009,1.204,1.232,0.0,0.0,5569.0,3929.0,1.0
dL[4],10.976,0.115,10.823,11.124,0.003,0.002,6139.0,3894.0,1.0
dL[5],4.294,0.022,4.263,4.326,0.0,0.0,15731.0,10266.0,1.0
dL[6],5.128,0.029,5.086,5.167,0.0,0.0,9114.0,4863.0,1.0
dL[7],9.391,0.087,9.274,9.505,0.002,0.002,6438.0,3913.0,1.0
dL[8],5.362,0.031,5.317,5.404,0.001,0.0,8671.0,4663.0,1.0
dL[9],9.39,0.087,9.273,9.504,0.002,0.002,6438.0,3913.0,1.0
dL[10],8.276,0.069,8.182,8.368,0.002,0.001,6761.0,4060.0,1.0
dL[11],10.868,0.113,10.717,11.013,0.003,0.002,6155.0,3924.0,1.0
dL[12],2.6,0.014,2.579,2.621,0.0,0.0,7174.0,5070.0,1.0
dL[13],2.171,0.013,2.151,2.19,0.0,0.0,6379.0,4638.0,1.0
dL[14],12.349,0.141,12.164,12.528,0.004,0.003,5971.0,3914.0,1.0
dL[15],13.112,0.156,12.904,13.304,0.004,0.003,5898.0,3896.0,1.0
dL[16],9.594,0.09,9.472,9.712,0.002,0.002,6392.0,3932.0,1.0
dL[17],4.433,0.023,4.402,4.467,0.0,0.0,14280.0,10337.0,1.0
dL[18],2.119,0.013,2.101,2.138,0.0,0.0,6304.0,4567.0,1.0
dL[19],4.471,0.023,4.439,4.505,0.0,0.0,13841.0,9509.0,1.0
dL[20],13.656,0.167,13.434,13.861,0.004,0.003,5852.0,3855.0,1.0
dL[21],5.844,0.036,5.792,5.893,0.001,0.0,8106.0,4178.0,1.0
dL[22],11.8,0.131,11.624,11.963,0.003,0.002,6031.0,3945.0,1.0
dL[23],11.516,0.125,11.349,11.675,0.003,0.002,6064.0,3939.0,1.0
dL[24],2.655,0.015,2.634,2.676,0.0,0.0,7290.0,5036.0,1.0
dL[25],13.278,0.16,13.066,13.475,0.004,0.003,5875.0,3912.0,1.0
dL[26],10.389,0.104,10.249,10.524,0.003,0.002,6232.0,3954.0,1.0
dL[27],10.455,0.106,10.313,10.591,0.003,0.002,6221.0,3940.0,1.0
dL[28],5.14,0.029,5.098,5.179,0.001,0.0,9085.0,4839.0,1.0
dL[29],6.761,0.047,6.695,6.825,0.001,0.001,7432.0,4039.0,1.0
dL[30],5.674,0.034,5.624,5.72,0.001,0.0,8283.0,4435.0,1.0
dL[31],7.725,0.06,7.637,7.802,0.001,0.001,6958.0,4089.0,1.0
dL[32],1.07,0.009,1.057,1.083,0.0,0.0,5516.0,3937.0,1.0
dL[33],13.455,0.163,13.239,13.656,0.004,0.003,5867.0,3911.0,1.0
dL[34],2.02,0.013,2.002,2.039,0.0,0.0,6170.0,4560.0,1.0
dL[35],9.553,0.09,9.433,9.67,0.002,0.002,6401.0,3943.0,1.0
dL[36],12.736,0.149,12.54,12.923,0.004,0.003,5933.0,3903.0,1.0
dL[37],8.724,0.076,8.619,8.823,0.002,0.001,6620.0,4087.0,1.0
dL[38],10.813,0.112,10.663,10.956,0.003,0.002,6163.0,3924.0,1.0
dL[39],2.565,0.014,2.544,2.585,0.0,0.0,7098.0,5009.0,1.0
dL[40],6.329,0.041,6.267,6.382,0.001,0.001,7708.0,3942.0,1.0
dL[41],4.544,0.024,4.511,4.578,0.0,0.0,12952.0,8811.0,1.0
dL[42],10.506,0.106,10.362,10.642,0.003,0.002,6213.0,3947.0,1.0
dL[43],12.567,0.146,12.375,12.749,0.004,0.003,5949.0,3903.0,1.0
dL[44],7.341,0.055,7.263,7.414,0.001,0.001,7134.0,4121.0,1.0
dL[45],3.718,0.019,3.692,3.746,0.0,0.0,12858.0,9557.0,1.0
dL[46],5.374,0.031,5.329,5.416,0.001,0.0,8653.0,4663.0,1.0
dL[47],7.375,0.055,7.296,7.447,0.001,0.001,7119.0,4102.0,1.0
dL[48],10.585,0.108,10.44,10.723,0.003,0.002,6199.0,3940.0,1.0
dL[49],9.606,0.091,9.485,9.725,0.002,0.002,6389.0,3932.0,1.0
dL[50],8.742,0.076,8.637,8.841,0.002,0.001,6614.0,4093.0,1.0
dL[51],10.283,0.102,10.145,10.415,0.003,0.002,6250.0,3936.0,1.0
dL[52],5.163,0.029,5.12,5.202,0.001,0.0,9025.0,4840.0,1.0
dL[53],8.103,0.066,8.01,8.189,0.002,0.001,6818.0,4105.0,1.0
dL[54],5.075,0.028,5.034,5.114,0.0,0.0,9256.0,4921.0,1.0
dL[55],8.014,0.065,7.923,8.098,0.002,0.001,6850.0,4120.0,1.0
dL[56],12.788,0.15,12.588,12.973,0.004,0.003,5928.0,3906.0,1.0
dL[57],10.891,0.114,10.732,11.029,0.003,0.002,6152.0,3913.0,1.0
dL[58],4.359,0.022,4.328,4.392,0.0,0.0,15115.0,10308.0,1.0
dL[59],3.915,0.02,3.887,3.943,0.0,0.0,14713.0,11161.0,1.0
dL[60],6.284,0.041,6.223,6.337,0.001,0.001,7740.0,3926.0,1.0
dL[61],7.355,0.055,7.277,7.428,0.001,0.001,7127.0,4107.0,1.0
dL[62],6.234,0.04,6.174,6.287,0.001,0.001,7779.0,3945.0,1.0
dL[63],6.666,0.046,6.598,6.725,0.001,0.001,7491.0,4028.0,1.0
dL[64],10.595,0.108,10.45,10.733,0.003,0.002,6197.0,3939.0,1.0
dL[65],8.524,0.073,8.423,8.619,0.002,0.001,6680.0,4082.0,1.0
dL[66],14.461,0.184,14.22,14.686,0.005,0.004,5798.0,3834.0,1.0
dL[67],12.436,0.143,12.248,12.616,0.004,0.003,5962.0,3918.0,1.0
dL[68],1.338,0.01,1.323,1.353,0.0,0.0,5619.0,3971.0,1.0
dL[69],6.031,0.038,5.974,6.081,0.001,0.001,7939.0,4023.0,1.0
dL[70],3.317,0.017,3.293,3.342,0.0,0.0,9787.0,6786.0,1.0
dL[71],8.87,0.078,8.763,8.973,0.002,0.001,6573.0,4041.0,1.0
dL[72],3.918,0.02,3.891,3.948,0.0,0.0,14745.0,11138.0,1.0
dL[73],4.019,0.02,3.99,4.048,0.0,0.0,15643.0,11196.0,1.0
dL[74],13.752,0.169,13.528,13.959,0.005,0.003,5845.0,3847.0,1.0
dL[75],5.772,0.035,5.723,5.821,0.001,0.0,8180.0,4214.0,1.0
dL[76],1.85,0.012,1.832,1.868,0.0,0.0,5963.0,4175.0,1.0
dL[77],9.245,0.084,9.13,9.355,0.002,0.001,6475.0,4009.0,1.0
dL[78],9.505,0.089,9.386,9.622,0.002,0.002,6412.0,3926.0,1.0
dL[79],14.071,0.176,13.844,14.291,0.005,0.003,5823.0,3864.0,1.0
dL[80],0.872,0.007,0.862,0.883,0.0,0.0,5458.0,3794.0,1.0
dL[81],8.495,0.072,8.395,8.589,0.002,0.001,6690.0,4078.0,1.0
dL[82],9.878,0.095,9.751,10.003,0.002,0.002,6327.0,3902.0,1.0
dL[83],1.002,0.008,0.991,1.015,0.0,0.0,5494.0,3864.0,1.0
dL[84],7.83,0.062,7.743,7.911,0.001,0.001,6918.0,4088.0,1.0
dL[85],14.172,0.178,13.943,14.395,0.005,0.003,5817.0,3861.0,1.0
dL[86],4.776,0.025,4.739,4.812,0.0,0.0,10714.0,6342.0,1.0
dL[87],4.999,0.027,4.959,5.037,0.0,0.0,9506.0,5007.0,1.0
dL[88],7.913,0.063,7.825,7.996,0.001,0.001,6887.0,4118.0,1.0
dL[89],4.816,0.026,4.779,4.853,0.0,0.0,10430.0,5951.0,1.0
dL[90],4.469,0.023,4.437,4.503,0.0,0.0,13861.0,9509.0,1.0
dL[91],9.941,0.096,9.81,10.065,0.002,0.002,6314.0,3908.0,1.0
dL[92],14.733,0.19,14.485,14.965,0.005,0.004,5780.0,3812.0,1.0
dL[93],9.901,0.096,9.772,10.026,0.002,0.002,6322.0,3896.0,1.0
dL[94],4.405,0.023,4.374,4.439,0.0,0.0,14607.0,10288.0,1.0
dL[95],9.915,0.096,9.785,10.039,0.002,0.002,6319.0,3902.0,1.0
dL[96],9.342,0.086,9.225,9.454,0.002,0.002,6449.0,3931.0,1.0
dL[97],8.227,0.068,8.134,8.318,0.002,0.001,6778.0,4072.0,1.0
dL[98],5.874,0.036,5.82,5.921,0.001,0.001,8077.0,4174.0,1.0
dL[99],5.076,0.028,5.035,5.115,0.0,0.0,9252.0,4941.0,1.0
dL[100],6.943,0.049,6.872,7.008,0.001,0.001,7329.0,4055.0,1.0
dL[101],11.827,0.131,11.654,11.994,0.003,0.002,6028.0,3945.0,1.0
dL[102],1.815,0.012,1.798,1.833,0.0,0.0,5926.0,4117.0,1.0
dL[103],7.955,0.064,7.864,8.038,0.001,0.001,6871.0,4129.0,1.0
dL[104],10.437,0.105,10.296,10.572,0.003,0.002,6224.0,3940.0,1.0
dL[105],7.401,0.056,7.322,7.474,0.001,0.001,7107.0,4101.0,1.0
dL[106],13.639,0.167,13.418,13.843,0.004,0.003,5853.0,3870.0,1.0
dL[107],7.301,0.054,7.223,7.372,0.001,0.001,7153.0,4113.0,1.0
dL[108],7.918,0.063,7.828,8.0,0.001,0.001,6886.0,4117.0,1.0
dL[109],9.892,0.096,9.764,10.017,0.002,0.002,6324.0,3896.0,1.0
dL[110],14.818,0.191,14.568,15.052,0.005,0.004,5775.0,3803.0,1.0
dL[111],7.73,0.06,7.642,7.807,0.001,0.001,6956.0,4089.0,1.0
dL[112],3.22,0.016,3.196,3.243,0.0,0.0,9192.0,6620.0,1.0
dL[113],8.735,0.076,8.629,8.833,0.002,0.001,6617.0,4087.0,1.0
dL[114],12.932,0.153,12.729,13.12,0.004,0.003,5914.0,3908.0,1.0
dL[115],8.691,0.075,8.586,8.788,0.002,0.001,6629.0,4086.0,1.0
dL[116],14.398,0.183,14.158,14.622,0.005,0.004,5802.0,3851.0,1.0
dL[117],11.438,0.124,11.273,11.595,0.003,0.002,6074.0,3969.0,1.0
dL[118],11.411,0.123,11.247,11.568,0.003,0.002,6078.0,3969.0,1.0
dL[119],5.981,0.037,5.925,6.03,0.001,0.001,7982.0,4038.0,1.0
