,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.692,0.048,0.604,0.785,0.001,0.0,8597.0,7857.0,1.0
Omega_m,0.284,0.009,0.268,0.301,0.0,0.0,10922.0,9521.0,1.0
M,2.532,3.524,-3.421,8.821,0.04,0.028,6851.0,6241.0,1.0
dL[0],0.42,0.027,0.368,0.471,0.0,0.0,9881.0,10127.0,1.0
dL[1],1.061,0.066,0.936,1.182,0.001,0.0,12307.0,9994.0,1.0
dL[2],0.42,0.027,0.368,0.471,0.0,0.0,9881.0,10127.0,1.0
dL[3],1.004,0.062,0.885,1.119,0.001,0.0,12096.0,9994.0,1.0
dL[4],0.322,0.021,0.28,0.36,0.0,0.0,9543.0,9776.0,1.0
dL[5],2.805,0.186,2.454,3.152,0.002,0.001,13242.0,10348.0,1.0
dL[6],0.948,0.059,0.836,1.057,0.001,0.0,11882.0,10166.0,1.0
dL[7],0.546,0.035,0.479,0.61,0.0,0.0,10332.0,10182.0,1.0
dL[8],0.044,0.003,0.038,0.049,0.0,0.0,8709.0,8146.0,1.0
dL[9],1.061,0.066,0.936,1.182,0.001,0.0,12307.0,9994.0,1.0
dL[10],1.917,0.12,1.699,2.147,0.001,0.001,13850.0,10134.0,1.0
dL[11],9.103,0.96,7.219,10.818,0.01,0.007,9404.0,8434.0,1.0
dL[12],1.414,0.087,1.253,1.579,0.001,0.001,13344.0,10143.0,1.0
dL[13],0.729,0.046,0.642,0.815,0.0,0.0,11015.0,10118.0,1.0
dL[14],3.811,0.277,3.312,4.35,0.003,0.002,11925.0,9815.0,1.0
dL[15],4.607,0.359,3.937,5.282,0.003,0.002,11179.0,9317.0,1.0
dL[16],2.805,0.186,2.454,3.152,0.002,0.001,13242.0,10348.0,1.0
dL[17],2.316,0.148,2.048,2.602,0.001,0.001,13777.0,10532.0,1.0
dL[18],0.111,0.008,0.097,0.125,0.0,0.0,8895.0,8818.0,1.0
dL[19],0.395,0.026,0.346,0.443,0.0,0.0,9794.0,10157.0,1.0
dL[20],4.936,0.395,4.197,5.673,0.004,0.003,10934.0,9253.0,1.0
dL[21],1.414,0.087,1.253,1.579,0.001,0.001,13344.0,10143.0,1.0
dL[22],1.384,0.085,1.222,1.541,0.001,0.001,13272.0,10213.0,1.0
dL[23],2.048,0.129,1.815,2.296,0.001,0.001,13856.0,10514.0,1.0
dL[24],4.324,0.328,3.722,4.953,0.003,0.002,11425.0,9533.0,1.0
dL[25],2.181,0.139,1.932,2.449,0.001,0.001,13821.0,10329.0,1.0
dL[26],2.913,0.195,2.556,3.289,0.002,0.001,13104.0,10156.0,1.0
dL[27],4.006,0.296,3.467,4.576,0.003,0.002,11720.0,9639.0,1.0
dL[28],1.147,0.071,1.01,1.276,0.001,0.0,12611.0,10084.0,1.0
dL[29],3.021,0.204,2.646,3.413,0.002,0.001,12949.0,10112.0,1.0
dL[30],3.021,0.204,2.646,3.413,0.002,0.001,12949.0,10112.0,1.0
dL[31],2.985,0.201,2.617,3.373,0.002,0.001,12999.0,10117.0,1.0
dL[32],0.976,0.061,0.861,1.088,0.001,0.0,11992.0,10164.0,1.0
dL[33],2.015,0.127,1.786,2.258,0.001,0.001,13858.0,10417.0,1.0
dL[34],4.77,0.377,4.084,5.495,0.004,0.003,11051.0,9367.0,1.0
dL[35],0.783,0.049,0.689,0.874,0.0,0.0,11218.0,10061.0,1.0
dL[36],0.865,0.054,0.762,0.965,0.001,0.0,11554.0,10176.0,1.0
dL[37],4.164,0.312,3.591,4.76,0.003,0.002,11571.0,9632.0,1.0
dL[38],0.948,0.059,0.836,1.057,0.001,0.0,11882.0,10166.0,1.0
dL[39],1.09,0.068,0.961,1.214,0.001,0.0,12409.0,9994.0,1.0
dL[40],3.279,0.227,2.869,3.72,0.002,0.001,12601.0,10174.0,1.0
dL[41],0.837,0.053,0.738,0.934,0.0,0.0,11441.0,10215.0,1.0
dL[42],3.505,0.247,3.044,3.973,0.002,0.002,12303.0,10172.0,1.0
dL[43],3.392,0.237,2.961,3.851,0.002,0.002,12450.0,10212.0,1.0
dL[44],5.828,0.501,4.918,6.793,0.005,0.004,10397.0,8808.0,1.0
dL[45],0.224,0.015,0.195,0.252,0.0,0.0,9222.0,9249.0,1.0
dL[46],1.95,0.122,1.728,2.184,0.001,0.001,13856.0,10277.0,1.0
dL[47],1.599,0.099,1.417,1.786,0.001,0.001,13655.0,9904.0,1.0
dL[48],4.164,0.312,3.591,4.76,0.003,0.002,11571.0,9632.0,1.0
dL[49],1.661,0.103,1.471,1.855,0.001,0.001,13711.0,9963.0,1.0
dL[50],1.63,0.101,1.445,1.821,0.001,0.001,13683.0,9962.0,1.0
dL[51],4.977,0.4,4.229,5.723,0.004,0.003,10906.0,9221.0,1.0
dL[52],0.729,0.046,0.642,0.815,0.0,0.0,11015.0,10118.0,1.0
dL[53],0.571,0.037,0.502,0.639,0.0,0.0,10425.0,10162.0,1.0
dL[54],0.948,0.059,0.836,1.057,0.001,0.0,11882.0,10166.0,1.0
dL[55],4.284,0.324,3.692,4.908,0.003,0.002,11460.0,9579.0,1.0
dL[56],3.242,0.224,2.836,3.675,0.002,0.001,12652.0,10174.0,1.0
dL[57],0.729,0.046,0.642,0.815,0.0,0.0,11015.0,10118.0,1.0
dL[58],1.004,0.062,0.885,1.119,0.001,0.0,12096.0,9994.0,1.0
dL[59],1.118,0.069,0.987,1.246,0.001,0.0,12511.0,10032.0,1.0
dL[60],1.475,0.091,1.308,1.648,0.001,0.001,13468.0,10144.0,1.0
dL[61],1.568,0.097,1.389,1.751,0.001,0.001,13623.0,9923.0,1.0
dL[62],1.568,0.097,1.389,1.751,0.001,0.001,13623.0,9923.0,1.0
dL[63],3.889,0.284,3.372,4.437,0.003,0.002,11838.0,9726.0,1.0
dL[64],0.756,0.048,0.666,0.844,0.0,0.0,11110.0,10137.0,1.0
dL[65],2.081,0.131,1.842,2.332,0.001,0.001,13849.0,10144.0,1.0
dL[66],0.597,0.038,0.525,0.668,0.0,0.0,10519.0,10163.0,1.0
dL[67],1.885,0.118,1.67,2.11,0.001,0.001,13842.0,10288.0,1.0
dL[68],0.298,0.02,0.259,0.333,0.0,0.0,9462.0,9564.0,1.0
dL[69],0.571,0.037,0.502,0.639,0.0,0.0,10425.0,10162.0,1.0
dL[70],2.913,0.195,2.556,3.289,0.002,0.001,13104.0,10156.0,1.0
dL[71],4.364,0.333,3.755,5.002,0.003,0.002,11389.0,9523.0,1.0
dL[72],1.206,0.075,1.062,1.341,0.001,0.0,12796.0,10142.0,1.0
dL[73],0.298,0.02,0.259,0.333,0.0,0.0,9462.0,9564.0,1.0
dL[74],3.392,0.237,2.961,3.851,0.002,0.002,12450.0,10212.0,1.0
dL[75],0.837,0.053,0.738,0.934,0.0,0.0,11441.0,10215.0,1.0
dL[76],0.42,0.027,0.368,0.471,0.0,0.0,9881.0,10127.0,1.0
dL[77],2.282,0.146,2.017,2.561,0.001,0.001,13804.0,10470.0,1.0
dL[78],5.229,0.429,4.454,6.06,0.004,0.003,10732.0,9166.0,1.0
dL[79],3.429,0.24,2.979,3.882,0.002,0.002,12402.0,10231.0,1.0
dL[80],1.004,0.062,0.885,1.119,0.001,0.0,12096.0,9994.0,1.0
dL[81],4.244,0.32,3.658,4.858,0.003,0.002,11498.0,9579.0,1.0
dL[82],3.467,0.244,3.011,3.927,0.002,0.002,12354.0,10250.0,1.0
dL[83],6.847,0.634,5.619,7.991,0.006,0.005,9967.0,8589.0,1.0
dL[84],4.364,0.333,3.755,5.002,0.003,0.002,11389.0,9523.0,1.0
dL[85],1.63,0.101,1.445,1.821,0.001,0.001,13683.0,9962.0,1.0
dL[86],1.09,0.068,0.961,1.214,0.001,0.0,12409.0,9994.0,1.0
dL[87],1.599,0.099,1.417,1.786,0.001,0.001,13655.0,9904.0,1.0
dL[88],2.316,0.148,2.048,2.602,0.001,0.001,13777.0,10532.0,1.0
dL[89],5.441,0.454,4.625,6.324,0.004,0.003,10605.0,9211.0,1.0
dL[90],1.118,0.069,0.987,1.246,0.001,0.0,12511.0,10032.0,1.0
dL[91],1.118,0.069,0.987,1.246,0.001,0.0,12511.0,10032.0,1.0
dL[92],5.914,0.512,4.97,6.885,0.005,0.004,10355.0,8797.0,1.0
correction,1.04,0.093,0.861,1.171,0.001,0.001,6852.0,6269.0,1.0
Delta[0],23.816,0.0,23.815,23.816,0.0,0.0,10922.0,9521.0,1.0
Delta[1],23.756,0.0,23.756,23.757,0.0,0.0,10922.0,9521.0,1.0
Delta[2],23.782,0.0,23.781,23.783,0.0,0.0,10922.0,9521.0,1.0
Delta[3],23.781,0.0,23.78,23.782,0.0,0.0,10922.0,9521.0,1.0
Delta[4],23.782,0.001,23.781,23.783,0.0,0.0,10922.0,9521.0,1.0
Delta[5],23.773,0.001,23.771,23.774,0.0,0.0,10922.0,9521.0,1.0
Delta[6],23.743,0.001,23.741,23.745,0.0,0.0,10922.0,9521.0,1.0
Delta[7],23.775,0.001,23.773,23.777,0.0,0.0,10922.0,9521.0,1.0
Delta[8],23.771,0.001,23.769,23.773,0.0,0.0,10922.0,9521.0,1.0
Delta[9],23.879,0.001,23.876,23.881,0.0,0.0,10922.0,9521.0,1.0
Delta[10],23.814,0.001,23.811,23.816,0.0,0.0,10922.0,9521.0,1.0
Delta[11],23.877,0.001,23.875,23.88,0.0,0.0,10922.0,9521.0,1.0
Delta[12],23.853,0.002,23.851,23.856,0.0,0.0,10922.0,9521.0,1.0
Delta[13],23.797,0.002,23.793,23.8,0.0,0.0,10922.0,9521.0,1.0
Delta[14],23.823,0.002,23.82,23.827,0.0,0.0,10922.0,9521.0,1.0
Delta[15],23.878,0.002,23.874,23.882,0.0,0.0,10922.0,9521.0,1.0
Delta[16],23.803,0.002,23.799,23.808,0.0,0.0,10922.0,9521.0,1.0
Delta[17],23.747,0.002,23.743,23.752,0.0,0.0,10922.0,9521.0,1.0
