,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.686,0.022,0.645,0.729,0.0,0.0,34470.0,28155.0,1.0
Omega_m,0.284,0.009,0.268,0.301,0.0,0.0,40394.0,34549.0,1.0
M,2.752,3.695,-3.632,9.364,0.02,0.014,29019.0,22630.0,1.0
dL[0],0.528,0.017,0.497,0.56,0.0,0.0,46998.0,37816.0,1.0
dL[1],0.328,0.01,0.309,0.347,0.0,0.0,44488.0,37164.0,1.0
dL[2],0.397,0.012,0.374,0.42,0.0,0.0,45860.0,38403.0,1.0
dL[3],0.223,0.007,0.21,0.235,0.0,0.0,41553.0,36247.0,1.0
dL[4],0.452,0.014,0.426,0.478,0.0,0.0,46576.0,38801.0,1.0
dL[5],0.792,0.026,0.742,0.841,0.0,0.0,44571.0,36798.0,1.0
dL[6],0.548,0.017,0.517,0.581,0.0,0.0,47008.0,37861.0,1.0
dL[7],0.59,0.019,0.555,0.625,0.0,0.0,47163.0,37726.0,1.0
dL[8],0.749,0.025,0.703,0.795,0.0,0.0,45247.0,37010.0,1.0
dL[9],0.232,0.007,0.218,0.245,0.0,0.0,41848.0,36105.0,1.0
dL[10],0.223,0.007,0.21,0.235,0.0,0.0,41553.0,36247.0,1.0
dL[11],0.457,0.014,0.43,0.484,0.0,0.0,46623.0,38595.0,1.0
dL[12],0.427,0.013,0.402,0.451,0.0,0.0,46295.0,38132.0,1.0
dL[13],0.246,0.008,0.232,0.26,0.0,0.0,42279.0,36387.0,1.0
dL[14],0.362,0.011,0.341,0.383,0.0,0.0,45234.0,37878.0,1.0
dL[15],0.218,0.007,0.205,0.23,0.0,0.0,41404.0,36146.0,1.0
dL[16],0.392,0.012,0.369,0.414,0.0,0.0,45778.0,38291.0,1.0
dL[17],0.107,0.003,0.101,0.113,0.0,0.0,37622.0,31716.0,1.0
dL[18],0.265,0.008,0.25,0.281,0.0,0.0,42842.0,36367.0,1.0
dL[19],0.062,0.002,0.058,0.066,0.0,0.0,36191.0,29789.0,1.0
dL[20],0.246,0.008,0.232,0.26,0.0,0.0,42279.0,36387.0,1.0
dL[21],0.294,0.009,0.277,0.311,0.0,0.0,43637.0,37003.0,1.0
dL[22],0.422,0.013,0.397,0.446,0.0,0.0,46230.0,38289.0,1.0
dL[23],0.523,0.016,0.493,0.554,0.0,0.0,46989.0,38058.0,1.0
dL[24],0.467,0.015,0.44,0.494,0.0,0.0,46712.0,38437.0,1.0
dL[25],0.223,0.007,0.21,0.235,0.0,0.0,41553.0,36247.0,1.0
dL[26],0.472,0.015,0.444,0.499,0.0,0.0,46753.0,38504.0,1.0
dL[27],0.765,0.025,0.718,0.812,0.0,0.0,44998.0,36786.0,1.0
dL[28],0.246,0.008,0.232,0.26,0.0,0.0,42279.0,36387.0,1.0
dL[29],0.357,0.011,0.336,0.378,0.0,0.0,45137.0,37834.0,1.0
dL[30],0.427,0.013,0.402,0.451,0.0,0.0,46295.0,38132.0,1.0
dL[31],0.442,0.014,0.416,0.467,0.0,0.0,46469.0,38505.0,1.0
dL[32],0.382,0.012,0.36,0.404,0.0,0.0,45608.0,38122.0,1.0
dL[33],0.487,0.015,0.459,0.516,0.0,0.0,46855.0,38360.0,1.0
dL[34],0.626,0.02,0.589,0.663,0.0,0.0,46838.0,37076.0,1.0
dL[35],0.864,0.029,0.808,0.918,0.0,0.0,43425.0,36082.0,1.0
dL[36],0.437,0.014,0.411,0.462,0.0,0.0,46415.0,38188.0,1.0
dL[37],0.304,0.009,0.286,0.321,0.0,0.0,43891.0,37255.0,1.0
dL[38],0.579,0.018,0.545,0.613,0.0,0.0,47230.0,37826.0,1.0
dL[39],0.347,0.011,0.327,0.367,0.0,0.0,44930.0,37656.0,1.0
dL[40],0.318,0.01,0.3,0.336,0.0,0.0,44254.0,37125.0,1.0
dL[41],0.554,0.017,0.522,0.587,0.0,0.0,47003.0,37773.0,1.0
dL[42],0.497,0.016,0.468,0.526,0.0,0.0,46905.0,38158.0,1.0
dL[43],0.574,0.018,0.54,0.608,0.0,0.0,46961.0,37671.0,1.0
dL[44],0.357,0.011,0.336,0.378,0.0,0.0,45137.0,37834.0,1.0
dL[45],0.309,0.01,0.29,0.326,0.0,0.0,44014.0,37276.0,1.0
dL[46],0.497,0.016,0.468,0.526,0.0,0.0,46905.0,38158.0,1.0
dL[47],0.669,0.022,0.628,0.709,0.0,0.0,46369.0,36324.0,1.0
dL[48],0.28,0.009,0.263,0.296,0.0,0.0,43243.0,36508.0,1.0
dL[49],0.157,0.005,0.148,0.166,0.0,0.0,39395.0,34805.0,1.0
correction,1.001,0.005,0.993,1.006,0.0,0.0,28886.0,22766.0,1.0
Delta[0],23.816,0.0,23.815,23.816,0.0,0.0,40394.0,34549.0,1.0
