,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.693,0.006,0.685,0.701,0.0,0.0,5702.0,4203.0,1.0
Omega_m,0.285,0.011,0.269,0.302,0.0,0.0,4294.0,4229.0,1.0
M,-0.295,0.379,-0.669,0.076,0.017,0.016,3490.0,3337.0,1.0
dL[0],15.005,0.248,14.795,15.217,0.009,0.006,4546.0,3692.0,1.0
dL[1],55.325,1.399,54.108,56.499,0.056,0.039,4336.0,3662.0,1.0
dL[2],11.496,0.166,11.36,11.635,0.006,0.004,4712.0,3806.0,1.0
dL[3],4.156,0.037,4.13,4.181,0.001,0.001,11907.0,8177.0,1.0
dL[4],68.433,1.794,66.878,69.929,0.072,0.051,4335.0,3623.0,1.0
dL[5],12.03,0.178,11.881,12.177,0.006,0.004,4674.0,3808.0,1.0
dL[6],3.115,0.025,3.096,3.134,0.0,0.0,9463.0,6220.0,1.0
dL[7],8.384,0.102,8.304,8.464,0.003,0.002,5056.0,4087.0,1.0
dL[8],20.844,0.397,20.487,21.175,0.015,0.01,4441.0,3744.0,1.0
dL[9],42.859,1.026,41.97,43.737,0.04,0.029,4347.0,3646.0,1.0
dL[10],16.852,0.293,16.595,17.1,0.011,0.008,4504.0,3721.0,1.0
dL[11],6.584,0.071,6.53,6.635,0.002,0.001,5506.0,3867.0,1.0
dL[12],45.378,1.101,44.418,46.311,0.043,0.031,4344.0,3638.0,1.0
dL[13],13.357,0.208,13.185,13.536,0.007,0.005,4600.0,3764.0,1.0
dL[14],48.737,1.201,47.692,49.752,0.047,0.034,4340.0,3648.0,1.0
dL[15],5.966,0.061,5.921,6.009,0.002,0.001,5781.0,4011.0,1.0
dL[16],2.158,0.017,2.143,2.172,0.0,0.0,7220.0,4898.0,1.0
dL[17],5.6,0.056,5.56,5.639,0.001,0.001,6045.0,3930.0,1.0
dL[18],11.021,0.156,10.892,11.148,0.005,0.004,4751.0,3846.0,1.0
dL[19],9.189,0.118,9.094,9.281,0.004,0.003,4939.0,3920.0,1.0
dL[20],12.273,0.183,12.123,12.429,0.006,0.004,4661.0,3736.0,1.0
dL[21],2.73,0.022,2.713,2.748,0.0,0.0,8450.0,5316.0,1.0
dL[22],5.495,0.054,5.456,5.533,0.001,0.001,6128.0,3975.0,1.0
dL[23],11.278,0.161,11.143,11.41,0.005,0.004,4730.0,3824.0,1.0
dL[24],2.775,0.022,2.758,2.793,0.0,0.0,8572.0,5284.0,1.0
dL[25],14.592,0.238,14.391,14.795,0.008,0.006,4558.0,3734.0,1.0
dL[26],10.321,0.141,10.208,10.437,0.005,0.003,4812.0,3954.0,1.0
dL[27],9.878,0.132,9.772,9.984,0.004,0.003,4858.0,3950.0,1.0
dL[28],14.638,0.239,14.436,14.842,0.008,0.006,4556.0,3712.0,1.0
dL[29],5.499,0.054,5.46,5.537,0.001,0.001,6125.0,3986.0,1.0
dL[30],13.162,0.204,12.994,13.336,0.007,0.005,4608.0,3768.0,1.0
dL[31],5.16,0.049,5.125,5.195,0.001,0.001,6547.0,4946.0,1.0
dL[32],14.815,0.243,14.608,15.022,0.009,0.006,4552.0,3695.0,1.0
dL[33],8.957,0.113,8.867,9.046,0.004,0.003,4972.0,3954.0,1.0
dL[34],12.146,0.181,11.999,12.3,0.006,0.004,4667.0,3737.0,1.0
dL[35],12.036,0.178,11.887,12.184,0.006,0.004,4673.0,3806.0,1.0
dL[36],5.553,0.055,5.513,5.592,0.001,0.001,6082.0,3958.0,1.0
dL[37],6.775,0.074,6.719,6.828,0.002,0.001,5433.0,3939.0,1.0
