,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.702,0.015,0.678,0.725,0.0,0.0,4605.0,4868.0,1.0
Omega_m,0.285,0.012,0.268,0.302,0.0,0.0,6075.0,5386.0,1.0
M,0.075,0.513,-0.777,1.002,0.01,0.013,4503.0,4244.0,1.0
dL[0],15.188,0.301,14.768,15.652,0.007,0.005,6552.0,4830.0,1.0
dL[1],56.539,1.741,53.821,59.378,0.039,0.028,5372.0,4433.0,1.0
dL[2],11.605,0.197,11.332,11.886,0.005,0.004,7317.0,5291.0,1.0
dL[3],4.153,0.044,4.094,4.215,0.001,0.001,10381.0,9074.0,1.0
dL[4],69.995,2.228,66.598,73.747,0.05,0.035,5315.0,4555.0,1.0
dL[5],12.149,0.212,11.848,12.45,0.005,0.004,7149.0,5343.0,1.0
dL[6],3.106,0.035,3.055,3.16,0.001,0.0,7313.0,7843.0,1.0
dL[7],8.435,0.116,8.289,8.596,0.003,0.002,9205.0,6333.0,1.0
dL[8],21.164,0.492,20.429,21.929,0.012,0.008,6015.0,5183.0,1.0
dL[9],43.744,1.281,41.773,45.829,0.029,0.021,5468.0,4314.0,1.0
dL[10],17.077,0.36,16.558,17.631,0.009,0.006,6339.0,5086.0,1.0
dL[11],6.608,0.079,6.508,6.71,0.002,0.001,12237.0,7121.0,1.0
dL[12],46.329,1.374,44.214,48.569,0.031,0.022,5443.0,4411.0,1.0
dL[13],13.504,0.251,13.152,13.876,0.006,0.004,6823.0,4928.0,1.0
dL[14],49.776,1.497,47.465,52.226,0.034,0.024,5416.0,4408.0,1.0
dL[15],0.549,0.011,0.534,0.566,0.0,0.0,4673.0,4738.0,1.0
dL[16],0.666,0.013,0.648,0.687,0.0,0.0,4709.0,4675.0,1.0
dL[17],0.59,0.011,0.573,0.608,0.0,0.0,4680.0,4767.0,1.0
dL[18],0.559,0.011,0.544,0.577,0.0,0.0,4675.0,4767.0,1.0
dL[19],0.069,0.002,0.067,0.072,0.0,0.0,4611.0,4821.0,1.0
dL[20],0.325,0.007,0.315,0.335,0.0,0.0,4640.0,4785.0,1.0
dL[21],0.646,0.012,0.628,0.666,0.0,0.0,4698.0,4726.0,1.0
dL[22],0.687,0.013,0.668,0.708,0.0,0.0,4719.0,4678.0,1.0
dL[23],0.45,0.009,0.437,0.465,0.0,0.0,4658.0,4752.0,1.0
dL[24],0.421,0.009,0.409,0.434,0.0,0.0,4654.0,4735.0,1.0
dL[25],0.787,0.014,0.765,0.81,0.0,0.0,4830.0,4735.0,1.0
dL[26],0.734,0.014,0.714,0.756,0.0,0.0,4766.0,4681.0,1.0
dL[27],0.615,0.012,0.598,0.634,0.0,0.0,4688.0,4758.0,1.0
dL[28],0.25,0.005,0.242,0.258,0.0,0.0,4632.0,4771.0,1.0
dL[29],0.373,0.008,0.362,0.385,0.0,0.0,4648.0,4799.0,1.0
dL[30],0.687,0.013,0.668,0.708,0.0,0.0,4719.0,4678.0,1.0
dL[31],0.57,0.011,0.553,0.587,0.0,0.0,4676.0,4767.0,1.0
dL[32],0.636,0.012,0.618,0.655,0.0,0.0,4692.0,4724.0,1.0
dL[33],0.724,0.013,0.704,0.745,0.0,0.0,4755.0,4681.0,1.0
dL[34],0.387,0.008,0.376,0.4,0.0,0.0,4650.0,4799.0,1.0
dL[35],0.382,0.008,0.371,0.395,0.0,0.0,4649.0,4799.0,1.0
dL[36],0.217,0.005,0.211,0.225,0.0,0.0,4627.0,4762.0,1.0
dL[37],0.421,0.009,0.409,0.434,0.0,0.0,4654.0,4735.0,1.0
dL[38],0.406,0.008,0.394,0.419,0.0,0.0,4652.0,4766.0,1.0
dL[39],0.739,0.014,0.719,0.761,0.0,0.0,4772.0,4681.0,1.0
dL[40],0.185,0.004,0.179,0.191,0.0,0.0,4623.0,4757.0,1.0
dL[41],0.363,0.008,0.352,0.375,0.0,0.0,4646.0,4799.0,1.0
dL[42],0.641,0.012,0.623,0.66,0.0,0.0,4695.0,4723.0,1.0
dL[43],0.504,0.01,0.49,0.52,0.0,0.0,4665.0,4766.0,1.0
dL[44],0.631,0.012,0.613,0.65,0.0,0.0,4692.0,4743.0,1.0
