## generated by gwcatalog
# event type: compact binary mergers
# observed by: LIGO (forecast)
# number of events: 50
# cosmology: ΛCDM (Ωₘ = 0.284, h = 0.7)


# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.118,0.665,0.17173806316701848
0.141,0.528,0.25285109849673365
0.126,0.728,0.19808522326826908
0.12,0.762,0.18002579291525186
0.016,0.033,0.0224837394506887
0.072,0.348,0.06563184925060882
0.137,0.737,0.2387310096356263
0.145,0.387,0.26814758336285616
0.098,0.346,0.11740145485274203
0.092,0.505,0.10382852901831426
0.164,0.765,0.35128416796084855
0.154,0.668,0.3055340861211649
0.131,0.519,0.21489751792124973
0.056,0.25,0.04265092812076751
0.082,0.315,0.08357756020420735
0.145,0.667,0.2666737136207291
0.122,0.646,0.1855066593337626
0.135,0.58,0.22943096452047823
0.152,0.552,0.2957032703727062
0.085,0.47,0.08832660409847037
0.084,0.388,0.08713190489183821
0.049,0.248,0.036403271083378555
0.092,0.436,0.10372417687175793
0.089,0.308,0.09756510111215348
0.155,0.146,0.30946052470319096
0.042,0.162,0.030987711021215877
0.08,0.361,0.07867574498149418
0.136,0.7,0.232650399545744
0.109,0.329,0.14734602150609907
0.134,0.691,0.2263509894202627
0.112,0.551,0.15607440686971774
0.082,0.163,0.08169918490077863
0.125,0.553,0.19617835836147007
0.076,0.307,0.07153156691437793
0.049,0.247,0.03601733002427615
0.102,0.303,0.12805573863541198
0.122,0.842,0.1865696651063993
0.074,0.321,0.06786102867177134
0.111,0.556,0.15161916609477327
0.081,0.483,0.08027860157849298
0.114,0.467,0.1616377582424843
0.048,0.146,0.03525035120760261
0.016,0.074,0.022448816320244376
0.129,0.545,0.20781502600431445
0.077,0.368,0.07320221178950492
0.04,0.184,0.029566456042785034
0.151,1.361,0.29195353330263596
0.072,0.364,0.06429696336165028
0.125,0.613,0.19464589583197647
0.119,0.463,0.17475677152370517
