,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.71,0.008,0.695,0.724,0.0,0.0,6595.0,5785.0,1.0
Omega_m,0.285,0.009,0.268,0.301,0.0,0.0,6511.0,6236.0,1.0
M,0.067,0.521,-0.676,0.761,0.011,0.011,5699.0,4043.0,1.0
dL[0],0.99,0.009,0.973,1.006,0.0,0.0,7675.0,6749.0,1.0
dL[1],54.536,1.658,51.869,57.04,0.029,0.022,7039.0,5978.0,1.0
dL[2],25.859,0.631,24.804,26.853,0.01,0.008,7304.0,6084.0,1.0
dL[3],25.402,0.616,24.37,26.37,0.01,0.008,7315.0,6084.0,1.0
dL[4],12.536,0.21,12.168,12.886,0.003,0.002,8113.0,6232.0,1.0
dL[5],25.063,0.604,24.048,26.012,0.01,0.007,7323.0,6084.0,1.0
dL[6],44.629,1.296,42.514,46.593,0.022,0.017,7084.0,6049.0,1.0
dL[7],25.021,0.603,24.008,25.968,0.01,0.007,7324.0,6084.0,1.0
dL[8],12.471,0.209,12.106,12.819,0.003,0.002,8124.0,6262.0,1.0
dL[9],2.409,0.017,2.376,2.441,0.0,0.0,12118.0,9789.0,1.0
dL[10],59.987,1.859,57.018,62.786,0.033,0.025,7022.0,5957.0,1.0
dL[11],35.127,0.955,33.561,36.603,0.016,0.012,7158.0,6031.0,1.0
dL[12],15.975,0.31,15.437,16.478,0.005,0.004,7730.0,6143.0,1.0
dL[13],12.76,0.217,12.384,13.122,0.003,0.002,8078.0,6188.0,1.0
dL[14],11.335,0.178,11.026,11.639,0.003,0.002,8331.0,6229.0,1.0
dL[15],0.406,0.004,0.398,0.414,0.0,0.0,6909.0,6002.0,1.0
dL[16],1.023,0.009,1.006,1.04,0.0,0.0,7731.0,6749.0,1.0
dL[17],0.406,0.004,0.398,0.414,0.0,0.0,6909.0,6002.0,1.0
dL[18],0.969,0.009,0.952,0.984,0.0,0.0,7638.0,6681.0,1.0
dL[19],0.312,0.003,0.306,0.318,0.0,0.0,6824.0,5880.0,1.0
