,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.696,0.017,0.67,0.722,0.0,0.0,4234.0,3528.0,1.0
Omega_m,0.284,0.012,0.268,0.301,0.0,0.0,6350.0,5674.0,1.0
M,-0.088,0.608,-1.027,0.887,0.014,0.012,3979.0,3503.0,1.0
dL[0],15.137,0.312,14.686,15.619,0.008,0.005,5086.0,4354.0,1.0
dL[1],56.12,1.986,53.207,59.213,0.05,0.036,4540.0,4006.0,1.0
dL[2],11.58,0.197,11.296,11.874,0.005,0.003,5558.0,4664.0,1.0
dL[3],4.164,0.039,4.101,4.227,0.001,0.0,9026.0,7965.0,1.0
dL[4],69.453,2.562,65.704,73.419,0.065,0.047,4521.0,4025.0,1.0
dL[5],12.121,0.213,11.815,12.443,0.005,0.004,5459.0,4571.0,1.0
dL[6],3.118,0.034,3.06,3.173,0.001,0.0,6177.0,6523.0,1.0
dL[7],8.43,0.109,8.265,8.584,0.002,0.002,6731.0,5049.0,1.0
dL[8],21.064,0.529,20.272,21.87,0.013,0.009,4788.0,4187.0,1.0
dL[9],43.443,1.443,41.284,45.659,0.036,0.026,4571.0,4160.0,1.0
dL[10],17.011,0.378,16.45,17.587,0.009,0.007,4950.0,4306.0,1.0
dL[11],6.611,0.07,6.507,6.711,0.001,0.001,9388.0,6031.0,1.0
dL[12],46.005,1.552,43.692,48.394,0.039,0.028,4563.0,4103.0,1.0
dL[13],13.466,0.256,13.094,13.855,0.006,0.004,5261.0,4414.0,1.0
dL[14],49.42,1.698,46.897,52.038,0.043,0.03,4554.0,4073.0,1.0
dL[15],0.414,0.009,0.4,0.428,0.0,0.0,4259.0,3622.0,1.0
dL[16],1.042,0.019,1.01,1.072,0.0,0.0,4410.0,4164.0,1.0
dL[17],0.414,0.009,0.4,0.428,0.0,0.0,4259.0,3622.0,1.0
dL[18],0.987,0.019,0.956,1.015,0.0,0.0,4382.0,4143.0,1.0
dL[19],0.318,0.008,0.306,0.329,0.0,0.0,4251.0,3604.0,1.0
dL[20],2.719,0.032,2.665,2.772,0.001,0.0,5523.0,5750.0,1.0
dL[21],0.932,0.018,0.903,0.959,0.0,0.0,4354.0,3690.0,1.0
dL[22],0.538,0.012,0.52,0.556,0.0,0.0,4268.0,3698.0,1.0
dL[23],0.043,0.001,0.042,0.045,0.0,0.0,4236.0,3514.0,1.0
dL[24],1.042,0.019,1.01,1.072,0.0,0.0,4410.0,4164.0,1.0
dL[25],1.871,0.027,1.827,1.917,0.001,0.0,4831.0,4589.0,1.0
dL[26],8.488,0.111,8.32,8.643,0.003,0.002,6695.0,5039.0,1.0
dL[27],1.386,0.023,1.349,1.424,0.001,0.0,4607.0,4243.0,1.0
