,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.004,0.696,0.702,0.0,0.0,4814.0,2783.0,1.0
Omega_m,0.284,0.013,0.266,0.301,0.0,0.0,2439.0,1753.0,1.0
M,-0.023,0.348,-0.376,0.308,0.018,0.018,2420.0,2388.0,1.0
dL[0],15.174,0.242,14.945,15.361,0.015,0.011,4185.0,2613.0,1.0
dL[1],56.373,1.577,55.194,57.442,0.107,0.079,3996.0,2611.0,1.0
dL[2],11.601,0.153,11.451,11.728,0.009,0.007,4319.0,2716.0,1.0
dL[3],4.159,0.021,4.134,4.182,0.001,0.001,6127.0,3403.0,1.0
dL[4],69.777,2.045,68.283,71.141,0.14,0.103,3997.0,2591.0,1.0
dL[5],12.144,0.166,11.984,12.282,0.01,0.007,4292.0,2641.0,1.0
dL[6],3.112,0.012,3.098,3.127,0.0,0.0,7013.0,3703.0,1.0
dL[7],8.438,0.086,8.354,8.52,0.005,0.003,4652.0,3197.0,1.0
dL[8],21.131,0.409,20.79,21.455,0.026,0.019,4084.0,2593.0,1.0
dL[9],43.627,1.138,42.768,44.436,0.077,0.057,4002.0,2616.0,1.0
dL[10],17.057,0.293,16.782,17.276,0.018,0.014,4144.0,2587.0,1.0
dL[11],6.613,0.054,6.557,6.667,0.003,0.002,5250.0,3288.0,1.0
dL[12],46.203,1.226,45.283,47.068,0.083,0.061,3999.0,2616.0,1.0
dL[13],13.495,0.199,13.303,13.653,0.012,0.009,4236.0,2626.0,1.0
dL[14],49.636,1.344,48.561,50.502,0.091,0.067,3997.0,2616.0,1.0
dL[15],8.183,0.081,8.103,8.26,0.004,0.003,4743.0,3193.0,1.0
dL[16],2.904,0.011,2.891,2.917,0.0,0.0,7261.0,3693.0,1.0
dL[17],8.001,0.078,7.924,8.076,0.004,0.003,4812.0,3177.0,1.0
dL[18],5.966,0.044,5.917,6.008,0.002,0.001,5431.0,3285.0,1.0
dL[19],15.628,0.254,15.403,15.838,0.016,0.012,4175.0,2610.0,1.0
dL[20],5.956,0.044,5.907,5.998,0.002,0.001,5434.0,3284.0,1.0
dL[21],7.453,0.068,7.385,7.519,0.004,0.003,5037.0,3261.0,1.0
dL[22],8.13,0.08,8.05,8.206,0.004,0.003,4762.0,3196.0,1.0
dL[23],11.668,0.155,11.517,11.797,0.009,0.007,4316.0,2716.0,1.0
dL[24],10.057,0.119,9.94,10.161,0.007,0.005,4409.0,2789.0,1.0
dL[25],2.935,0.011,2.922,2.948,0.0,0.0,7226.0,3649.0,1.0
dL[26],13.864,0.208,13.664,14.029,0.013,0.009,4223.0,2626.0,1.0
dL[27],1.919,0.006,1.912,1.926,0.0,0.0,8754.0,3904.0,1.0
dL[28],10.058,0.119,9.941,10.162,0.007,0.005,4409.0,2789.0,1.0
dL[29],2.696,0.01,2.684,2.706,0.0,0.0,7490.0,3730.0,1.0
