## generated by gwcatalog
# event type: compact binary mergers
# observed by: LIGO (forecast)
# number of events: 50
# cosmology: ΛCDM (Ωₘ = 0.284, h = 0.7)


# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.148,0.835,0.2794190926371412
0.067,0.321,0.05694041807096792
0.126,0.858,0.1998467047118339
0.109,0.782,0.145250571493778
0.099,0.322,0.12108599285465325
0.103,0.513,0.12988794188911915
0.154,1.017,0.3055983678500813
0.135,0.748,0.231057665198166
0.061,0.257,0.04873015304363575
0.093,0.409,0.10485757304610525
0.164,0.395,0.3520624239789041
0.038,0.196,0.02850735111557981
0.187,1.335,0.4665144088638273
0.125,0.757,0.19458806598474798
0.065,0.213,0.0541647938422215
0.082,0.387,0.08169377931256376
0.095,0.579,0.11003663531061866
0.043,0.222,0.03126670967521839
0.119,0.66,0.177143428883708
0.084,0.185,0.0870350102340687
0.086,0.378,0.0903304658625259
0.119,0.542,0.1756237322652276
0.099,0.36,0.12101352893953106
0.102,0.592,0.12780103290581982
0.041,0.204,0.029871295685072224
0.075,0.391,0.07054133073484158
0.117,0.797,0.1690334700126268
0.122,0.316,0.18396996782018418
0.096,0.413,0.11259242281852627
0.058,0.214,0.04558482174845279
0.083,0.479,0.08445644892729785
0.103,0.335,0.12940239091570424
0.104,0.633,0.13259387846886245
0.116,0.537,0.16595780375839353
0.128,0.747,0.20522381091412972
0.149,0.55,0.28450560414050496
0.099,0.713,0.12105262353639375
0.107,0.471,0.13964863666915572
0.145,1.364,0.2699686174187046
0.121,0.516,0.18198253523797406
0.053,0.189,0.039937504642968816
0.041,0.174,0.03001324557024576
0.061,0.283,0.049093200936413395
0.076,0.343,0.07137514090839422
0.104,0.76,0.13291732214800792
0.124,0.648,0.19056590139161497
0.075,0.382,0.06946079581294398
0.061,0.157,0.04934264531184789
0.028,0.079,0.024373418799329062
0.144,0.506,0.2651798521017751
