,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.708,0.01,0.693,0.722,0.0,0.0,5361.0,4904.0,1.0
Omega_m,0.285,0.011,0.267,0.301,0.0,0.0,7146.0,6627.0,1.0
M,-0.004,0.565,-0.721,0.67,0.016,0.017,4879.0,4839.0,1.0
dL[0],0.992,0.01,0.976,1.008,0.0,0.0,6158.0,5690.0,1.0
dL[1],54.328,1.723,51.642,56.856,0.039,0.029,5820.0,4805.0,1.0
dL[2],25.782,0.66,24.692,26.77,0.014,0.01,6039.0,4934.0,1.0
dL[3],25.327,0.644,24.286,26.315,0.014,0.01,6048.0,4934.0,1.0
dL[4],12.514,0.223,12.148,12.876,0.004,0.003,6819.0,6012.0,1.0
dL[5],24.99,0.632,23.968,25.96,0.013,0.01,6055.0,4941.0,1.0
dL[6],44.467,1.349,42.352,46.472,0.03,0.023,5859.0,4899.0,1.0
dL[7],24.948,0.63,23.928,25.916,0.013,0.01,6056.0,4941.0,1.0
dL[8],12.449,0.221,12.085,12.808,0.004,0.003,6833.0,6012.0,1.0
dL[9],2.412,0.02,2.379,2.443,0.0,0.0,11032.0,7908.0,1.0
dL[10],59.753,1.931,56.76,62.581,0.044,0.033,5806.0,4822.0,1.0
dL[11],35.008,0.995,33.423,36.5,0.022,0.016,5921.0,4886.0,1.0
dL[12],15.94,0.327,15.387,16.442,0.006,0.005,6369.0,5193.0,1.0
dL[13],12.737,0.229,12.36,13.109,0.004,0.003,6774.0,5995.0,1.0
dL[14],11.318,0.189,11.005,11.626,0.003,0.002,7093.0,6093.0,1.0
dL[15],0.441,0.005,0.433,0.449,0.0,0.0,5631.0,5152.0,1.0
dL[16],0.355,0.004,0.348,0.362,0.0,0.0,5572.0,5146.0,1.0
dL[17],0.47,0.005,0.462,0.479,0.0,0.0,5652.0,5218.0,1.0
dL[18],0.238,0.003,0.234,0.243,0.0,0.0,5495.0,4994.0,1.0
dL[19],0.298,0.004,0.293,0.304,0.0,0.0,5532.0,5091.0,1.0
dL[20],0.46,0.005,0.452,0.469,0.0,0.0,5645.0,5187.0,1.0
dL[21],0.369,0.004,0.362,0.376,0.0,0.0,5581.0,5150.0,1.0
dL[22],0.104,0.001,0.102,0.106,0.0,0.0,5413.0,4973.0,1.0
dL[23],0.426,0.005,0.419,0.434,0.0,0.0,5620.0,5152.0,1.0
dL[24],0.369,0.004,0.362,0.376,0.0,0.0,5581.0,5150.0,1.0
dL[25],0.28,0.003,0.275,0.285,0.0,0.0,5520.0,5052.0,1.0
dL[26],0.831,0.009,0.818,0.845,0.0,0.0,5975.0,5461.0,1.0
dL[27],0.706,0.008,0.694,0.718,0.0,0.0,5852.0,5317.0,1.0
dL[28],0.805,0.009,0.792,0.819,0.0,0.0,5948.0,5402.0,1.0
dL[29],0.134,0.002,0.132,0.137,0.0,0.0,5431.0,5053.0,1.0
dL[30],0.35,0.004,0.344,0.357,0.0,0.0,5568.0,5160.0,1.0
dL[31],0.294,0.004,0.288,0.299,0.0,0.0,5528.0,5052.0,1.0
dL[32],0.645,0.007,0.633,0.656,0.0,0.0,5796.0,5176.0,1.0
dL[33],0.417,0.005,0.409,0.424,0.0,0.0,5613.0,5157.0,1.0
dL[34],0.152,0.002,0.149,0.155,0.0,0.0,5441.0,5012.0,1.0
dL[35],0.5,0.006,0.49,0.508,0.0,0.0,5674.0,5261.0,1.0
dL[36],0.215,0.003,0.211,0.22,0.0,0.0,5480.0,5016.0,1.0
dL[37],0.451,0.005,0.442,0.459,0.0,0.0,5638.0,5187.0,1.0
dL[38],0.388,0.005,0.381,0.395,0.0,0.0,5594.0,5169.0,1.0
dL[39],0.077,0.001,0.076,0.079,0.0,0.0,5399.0,4966.0,1.0
dL[40],0.211,0.003,0.207,0.215,0.0,0.0,5477.0,5016.0,1.0
dL[41],0.768,0.008,0.755,0.781,0.0,0.0,5913.0,5380.0,1.0
dL[42],0.48,0.005,0.471,0.489,0.0,0.0,5659.0,5246.0,1.0
dL[43],0.197,0.002,0.194,0.201,0.0,0.0,5470.0,5008.0,1.0
dL[44],0.549,0.006,0.539,0.559,0.0,0.0,5714.0,5202.0,1.0
dL[45],0.184,0.002,0.18,0.187,0.0,0.0,5461.0,4982.0,1.0
dL[46],0.665,0.007,0.653,0.676,0.0,0.0,5813.0,5167.0,1.0
dL[47],0.09,0.001,0.089,0.092,0.0,0.0,5406.0,4966.0,1.0
dL[48],0.779,0.008,0.766,0.792,0.0,0.0,5923.0,5402.0,1.0
dL[49],0.322,0.004,0.316,0.328,0.0,0.0,5548.0,5111.0,1.0
dL[50],0.112,0.001,0.11,0.115,0.0,0.0,5419.0,4968.0,1.0
dL[51],0.65,0.007,0.638,0.661,0.0,0.0,5800.0,5181.0,1.0
dL[52],0.336,0.004,0.33,0.342,0.0,0.0,5558.0,5150.0,1.0
dL[53],0.619,0.007,0.608,0.63,0.0,0.0,5774.0,5178.0,1.0
dL[54],0.614,0.007,0.603,0.625,0.0,0.0,5770.0,5178.0,1.0
dL[55],0.252,0.003,0.247,0.257,0.0,0.0,5503.0,5014.0,1.0
dL[56],0.691,0.008,0.679,0.703,0.0,0.0,5836.0,5147.0,1.0
dL[57],0.294,0.004,0.288,0.299,0.0,0.0,5528.0,5052.0,1.0
dL[58],0.312,0.004,0.307,0.318,0.0,0.0,5542.0,5112.0,1.0
dL[59],0.554,0.006,0.544,0.564,0.0,0.0,5719.0,5202.0,1.0
dL[60],0.294,0.004,0.288,0.299,0.0,0.0,5528.0,5052.0,1.0
dL[61],0.378,0.004,0.371,0.385,0.0,0.0,5587.0,5150.0,1.0
dL[62],0.46,0.005,0.452,0.469,0.0,0.0,5645.0,5187.0,1.0
dL[63],0.252,0.003,0.247,0.257,0.0,0.0,5503.0,5014.0,1.0
dL[64],0.336,0.004,0.33,0.342,0.0,0.0,5558.0,5150.0,1.0
correction,1.0,0.001,0.997,1.002,0.0,0.0,4870.0,4785.0,1.0
Delta[0],23.816,0.0,23.815,23.816,0.0,0.0,7146.0,6627.0,1.0
Delta[1],23.756,0.0,23.756,23.757,0.0,0.0,7146.0,6627.0,1.0
Delta[2],23.782,0.0,23.781,23.783,0.0,0.0,7146.0,6627.0,1.0
Delta[3],23.781,0.001,23.78,23.782,0.0,0.0,7146.0,6627.0,1.0
Delta[4],23.782,0.001,23.781,23.783,0.0,0.0,7146.0,6627.0,1.0
Delta[5],23.773,0.001,23.771,23.774,0.0,0.0,7146.0,6627.0,1.0
Delta[6],23.743,0.001,23.741,23.745,0.0,0.0,7146.0,6627.0,1.0
Delta[7],23.775,0.001,23.773,23.777,0.0,0.0,7146.0,6627.0,1.0
Delta[8],23.771,0.001,23.769,23.773,0.0,0.0,7146.0,6627.0,1.0
Delta[9],23.879,0.001,23.876,23.881,0.0,0.0,7146.0,6627.0,1.0
Delta[10],23.814,0.002,23.811,23.816,0.0,0.0,7146.0,6627.0,1.0
Delta[11],23.877,0.002,23.875,23.88,0.0,0.0,7146.0,6627.0,1.0
Delta[12],23.854,0.002,23.85,23.856,0.0,0.0,7146.0,6627.0,1.0
Delta[13],23.797,0.002,23.793,23.8,0.0,0.0,7146.0,6627.0,1.0
