,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.699,0.004,0.695,0.703,0.0,0.0,323.0,142.0,1.02
Omega_m,0.286,0.017,0.26,0.308,0.002,0.001,252.0,68.0,1.03
dL[0],8.187,0.078,8.074,8.285,0.007,0.005,276.0,77.0,1.02
dL[1],2.904,0.014,2.886,2.92,0.001,0.001,434.0,126.0,1.02
dL[2],8.005,0.075,7.896,8.099,0.007,0.005,276.0,77.0,1.02
dL[3],5.968,0.046,5.903,6.027,0.004,0.003,284.0,81.0,1.02
dL[4],15.639,0.212,15.344,15.909,0.022,0.016,267.0,73.0,1.02
dL[5],5.958,0.046,5.894,6.017,0.004,0.003,284.0,81.0,1.02
dL[6],7.457,0.067,7.361,7.541,0.006,0.005,277.0,77.0,1.02
dL[7],8.133,0.077,8.022,8.23,0.007,0.005,276.0,77.0,1.02
dL[8],11.675,0.137,11.484,11.852,0.014,0.01,271.0,75.0,1.02
dL[9],10.062,0.108,9.91,10.204,0.011,0.008,272.0,75.0,1.02
dL[10],2.935,0.014,2.917,2.951,0.001,0.001,432.0,126.0,1.02
dL[11],13.873,0.178,13.625,14.1,0.018,0.013,268.0,74.0,1.02
dL[12],1.919,0.008,1.911,1.927,0.0,0.0,650.0,184.0,1.01
dL[13],10.063,0.108,9.911,10.205,0.011,0.008,272.0,75.0,1.02
dL[14],2.696,0.012,2.681,2.71,0.001,0.0,455.0,139.0,1.02
dL[15],6.274,0.05,6.206,6.341,0.005,0.003,283.0,79.0,1.02
dL[16],10.386,0.114,10.227,10.535,0.011,0.008,272.0,75.0,1.02
dL[17],11.599,0.135,11.41,11.774,0.014,0.01,271.0,75.0,1.02
dL[18],0.46,0.002,0.458,0.462,0.0,0.0,439.0,183.0,1.01
dL[19],2.374,0.01,2.362,2.385,0.0,0.0,507.0,139.0,1.02
dL[20],0.879,0.004,0.876,0.882,0.0,0.0,1032.0,425.0,1.0
dL[21],3.798,0.021,3.769,3.824,0.002,0.001,344.0,115.0,1.02
dL[22],14.777,0.195,14.505,15.026,0.02,0.014,267.0,74.0,1.02
dL[23],2.593,0.011,2.579,2.606,0.001,0.0,467.0,139.0,1.02
dL[24],2.734,0.012,2.718,2.748,0.001,0.001,451.0,140.0,1.02
dL[25],8.313,0.08,8.197,8.414,0.008,0.006,274.0,77.0,1.02
dL[26],7.226,0.063,7.135,7.306,0.006,0.004,278.0,78.0,1.02
dL[27],8.698,0.086,8.573,8.806,0.008,0.006,274.0,76.0,1.02
dL[28],11.54,0.134,11.352,11.714,0.013,0.01,271.0,75.0,1.02
dL[29],12.852,0.158,12.631,13.055,0.016,0.012,269.0,75.0,1.02
dL[30],10.533,0.117,10.37,10.684,0.012,0.008,272.0,75.0,1.02
dL[31],1.191,0.005,1.187,1.195,0.0,0.0,2040.0,1231.0,1.0
dL[32],7.844,0.072,7.746,7.943,0.007,0.005,276.0,77.0,1.02
dL[33],0.613,0.003,0.611,0.616,0.0,0.0,544.0,222.0,1.01
dL[34],5.943,0.045,5.88,6.003,0.004,0.003,284.0,81.0,1.02
dL[35],10.349,0.113,10.19,10.496,0.011,0.008,272.0,75.0,1.02
dL[36],12.468,0.151,12.256,12.662,0.015,0.011,270.0,75.0,1.02
dL[37],1.612,0.006,1.606,1.618,0.0,0.0,933.0,406.0,1.01
dL[38],7.631,0.069,7.531,7.719,0.007,0.005,277.0,77.0,1.02
dL[39],8.023,0.075,7.914,8.118,0.007,0.005,276.0,77.0,1.02
dL[40],1.094,0.004,1.091,1.098,0.0,0.0,1920.0,1144.0,1.0
dL[41],0.487,0.002,0.485,0.489,0.0,0.0,453.0,189.0,1.01
dL[42],15.325,0.206,15.038,15.587,0.021,0.015,267.0,73.0,1.02
dL[43],3.379,0.017,3.355,3.399,0.001,0.001,397.0,118.0,1.02
dL[44],5.779,0.043,5.718,5.835,0.004,0.003,285.0,80.0,1.02
dL[45],2.101,0.009,2.092,2.11,0.0,0.0,574.0,173.0,1.01
dL[46],0.811,0.003,0.808,0.814,0.0,0.0,844.0,394.0,1.0
dL[47],3.419,0.018,3.395,3.44,0.001,0.001,392.0,117.0,1.02
dL[48],7.166,0.062,7.076,7.245,0.006,0.004,278.0,79.0,1.02
dL[49],14.238,0.185,13.98,14.473,0.019,0.014,268.0,74.0,1.02
dL[50],8.308,0.08,8.192,8.408,0.008,0.005,274.0,77.0,1.02
dL[51],9.295,0.095,9.159,9.418,0.009,0.007,273.0,76.0,1.02
dL[52],10.462,0.115,10.3,10.612,0.011,0.008,272.0,75.0,1.02
dL[53],10.686,0.119,10.519,10.841,0.012,0.009,272.0,75.0,1.02
dL[54],4.493,0.028,4.454,4.528,0.002,0.002,300.0,105.0,1.02
dL[55],3.49,0.018,3.465,3.512,0.001,0.001,384.0,114.0,1.02
dL[56],2.83,0.013,2.813,2.845,0.001,0.001,441.0,133.0,1.02
dL[57],1.183,0.005,1.179,1.186,0.0,0.0,2037.0,1165.0,1.0
dL[58],11.796,0.139,11.601,11.975,0.014,0.01,271.0,75.0,1.02
dL[59],11.058,0.126,10.882,11.221,0.013,0.009,271.0,75.0,1.02
dL[60],0.478,0.002,0.476,0.48,0.0,0.0,448.0,177.0,1.01
dL[61],0.664,0.003,0.662,0.666,0.0,0.0,599.0,273.0,1.01
dL[62],8.617,0.084,8.495,8.724,0.008,0.006,274.0,76.0,1.02
dL[63],2.588,0.011,2.574,2.6,0.001,0.0,468.0,139.0,1.02
dL[64],11.924,0.141,11.726,12.106,0.014,0.01,270.0,75.0,1.02
dL[65],9.029,0.091,8.896,9.143,0.009,0.006,273.0,76.0,1.02
dL[66],7.248,0.063,7.156,7.328,0.006,0.004,278.0,78.0,1.02
dL[67],2.612,0.012,2.598,2.625,0.001,0.0,464.0,139.0,1.02
dL[68],2.498,0.011,2.485,2.51,0.001,0.0,484.0,148.0,1.02
dL[69],12.167,0.146,11.964,12.355,0.015,0.011,270.0,75.0,1.02
dL[70],6.613,0.054,6.539,6.686,0.005,0.004,280.0,79.0,1.02
dL[71],14.229,0.185,13.972,14.465,0.019,0.014,268.0,74.0,1.02
dL[72],7.559,0.068,7.461,7.645,0.006,0.005,277.0,77.0,1.02
dL[73],0.771,0.003,0.768,0.774,0.0,0.0,762.0,391.0,1.0
dL[74],10.868,0.122,10.697,11.027,0.012,0.009,271.0,75.0,1.02
dL[75],2.094,0.009,2.085,2.103,0.0,0.0,577.0,173.0,1.01
dL[76],7.953,0.074,7.846,8.047,0.007,0.005,276.0,77.0,1.02
dL[77],5.834,0.044,5.773,5.891,0.004,0.003,284.0,80.0,1.02
dL[78],5.963,0.046,5.899,6.023,0.004,0.003,284.0,81.0,1.02
dL[79],2.839,0.013,2.823,2.855,0.001,0.001,440.0,133.0,1.02
dL[80],14.009,0.18,13.757,14.238,0.018,0.013,268.0,74.0,1.02
dL[81],15.543,0.21,15.251,15.81,0.022,0.015,267.0,73.0,1.02
dL[82],8.603,0.084,8.48,8.709,0.008,0.006,274.0,76.0,1.02
dL[83],3.655,0.02,3.628,3.68,0.001,0.001,359.0,115.0,1.02
dL[84],1.199,0.005,1.195,1.203,0.0,0.0,2042.0,1268.0,1.0
dL[85],15.238,0.204,14.954,15.498,0.021,0.015,267.0,73.0,1.02
dL[86],8.412,0.081,8.294,8.515,0.008,0.006,274.0,76.0,1.02
dL[87],3.993,0.023,3.962,4.023,0.002,0.001,327.0,114.0,1.02
dL[88],0.756,0.003,0.753,0.759,0.0,0.0,734.0,385.0,1.0
dL[89],10.486,0.116,10.324,10.637,0.012,0.008,272.0,75.0,1.02
dL[90],15.561,0.21,15.269,15.829,0.022,0.016,267.0,73.0,1.02
dL[91],14.213,0.184,13.956,14.448,0.019,0.014,268.0,74.0,1.02
dL[92],4.598,0.029,4.557,4.635,0.002,0.002,296.0,83.0,1.02
dL[93],8.614,0.084,8.491,8.721,0.008,0.006,274.0,76.0,1.02
dL[94],9.863,0.105,9.714,9.998,0.01,0.007,272.0,76.0,1.02
dL[95],0.633,0.003,0.631,0.636,0.0,0.0,564.0,241.0,1.01
dL[96],14.257,0.185,13.999,14.493,0.019,0.014,268.0,74.0,1.02
dL[97],8.257,0.079,8.142,8.356,0.008,0.005,274.0,77.0,1.02
dL[98],7.742,0.071,7.646,7.838,0.007,0.005,276.0,77.0,1.02
dL[99],14.573,0.191,14.307,14.818,0.02,0.014,267.0,74.0,1.02
dL[100],8.032,0.075,7.923,8.127,0.007,0.005,276.0,77.0,1.02
dL[101],12.548,0.153,12.334,12.744,0.015,0.011,269.0,75.0,1.02
dL[102],9.195,0.094,9.058,9.313,0.009,0.007,273.0,76.0,1.02
dL[103],10.699,0.119,10.532,10.855,0.012,0.009,272.0,75.0,1.02
dL[104],13.03,0.162,12.804,13.237,0.016,0.012,269.0,75.0,1.02
dL[105],0.861,0.004,0.858,0.864,0.0,0.0,979.0,420.0,1.0
dL[106],6.084,0.047,6.018,6.146,0.004,0.003,284.0,80.0,1.02
dL[107],7.203,0.063,7.113,7.283,0.006,0.004,279.0,78.0,1.02
dL[108],3.329,0.017,3.306,3.349,0.001,0.001,401.0,118.0,1.02
dL[109],0.378,0.002,0.377,0.38,0.0,0.0,407.0,150.0,1.01
dL[110],8.062,0.076,7.952,8.157,0.007,0.005,276.0,77.0,1.02
dL[111],3.625,0.019,3.598,3.648,0.001,0.001,363.0,115.0,1.02
dL[112],0.583,0.003,0.581,0.585,0.0,0.0,516.0,208.0,1.01
dL[113],9.046,0.091,8.913,9.161,0.009,0.006,273.0,76.0,1.02
dL[114],3.683,0.02,3.656,3.708,0.001,0.001,356.0,115.0,1.02
dL[115],0.799,0.003,0.797,0.802,0.0,0.0,819.0,395.0,1.0
dL[116],15.015,0.2,14.737,15.27,0.02,0.015,267.0,73.0,1.02
dL[117],14.038,0.181,13.785,14.268,0.018,0.013,268.0,74.0,1.02
dL[118],0.708,0.003,0.705,0.71,0.0,0.0,654.0,337.0,1.0
dL[119],0.688,0.003,0.685,0.69,0.0,0.0,627.0,340.0,1.0
dL[120],14.527,0.19,14.262,14.77,0.019,0.014,267.0,74.0,1.02
dL[121],4.479,0.028,4.439,4.514,0.002,0.002,300.0,105.0,1.02
dL[122],9.661,0.102,9.517,9.792,0.01,0.007,273.0,76.0,1.02
dL[123],11.224,0.129,11.044,11.39,0.013,0.009,271.0,75.0,1.02
dL[124],14.049,0.181,13.796,14.28,0.018,0.013,268.0,74.0,1.02
dL[125],9.153,0.093,9.017,9.27,0.009,0.007,273.0,76.0,1.02
dL[126],1.746,0.007,1.74,1.753,0.0,0.0,768.0,266.0,1.01
dL[127],14.12,0.182,13.865,14.352,0.019,0.013,268.0,74.0,1.02
dL[128],6.165,0.048,6.097,6.228,0.004,0.003,283.0,79.0,1.02
dL[129],9.366,0.097,9.228,9.491,0.009,0.007,273.0,76.0,1.02
dL[130],8.301,0.079,8.185,8.401,0.008,0.005,274.0,77.0,1.02
dL[131],4.066,0.024,4.032,4.095,0.002,0.001,322.0,114.0,1.02
dL[132],13.094,0.163,12.866,13.302,0.017,0.012,269.0,75.0,1.02
dL[133],10.873,0.122,10.702,11.032,0.012,0.009,271.0,75.0,1.02
dL[134],10.452,0.115,10.291,10.602,0.011,0.008,272.0,75.0,1.02
dL[135],9.9,0.106,9.75,10.036,0.01,0.007,272.0,75.0,1.02
dL[136],6.066,0.047,6.0,6.128,0.004,0.003,284.0,80.0,1.02
dL[137],12.141,0.145,11.938,12.328,0.015,0.011,270.0,75.0,1.02
dL[138],1.0,0.004,0.997,1.003,0.0,0.0,1532.0,714.0,1.0
dL[139],2.943,0.014,2.925,2.959,0.001,0.001,432.0,126.0,1.02
dL[140],15.663,0.212,15.368,15.933,0.022,0.016,267.0,73.0,1.02
dL[141],6.694,0.055,6.618,6.769,0.005,0.004,280.0,79.0,1.02
dL[142],12.868,0.159,12.646,13.071,0.016,0.012,269.0,75.0,1.02
dL[143],2.175,0.009,2.165,2.184,0.0,0.0,552.0,171.0,1.02
dL[144],13.909,0.178,13.66,14.137,0.018,0.013,268.0,74.0,1.02
dL[145],11.609,0.136,11.419,11.784,0.014,0.01,271.0,75.0,1.02
dL[146],11.768,0.138,11.575,11.947,0.014,0.01,271.0,75.0,1.02
dL[147],5.038,0.034,4.991,5.082,0.003,0.002,289.0,82.0,1.02
dL[148],1.038,0.004,1.034,1.041,0.0,0.0,1686.0,959.0,1.0
dL[149],7.134,0.062,7.045,7.213,0.006,0.004,278.0,79.0,1.02
dL[150],3.264,0.016,3.241,3.283,0.001,0.001,407.0,118.0,1.02
dL[151],11.394,0.132,11.21,11.565,0.013,0.009,271.0,75.0,1.02
dL[152],6.476,0.052,6.4,6.542,0.005,0.003,281.0,79.0,1.02
dL[153],8.771,0.087,8.645,8.881,0.008,0.006,274.0,76.0,1.02
dL[154],9.976,0.107,9.824,10.114,0.011,0.008,272.0,75.0,1.02
dL[155],15.453,0.208,15.163,15.718,0.021,0.015,267.0,73.0,1.02
dL[156],14.34,0.187,14.08,14.578,0.019,0.014,267.0,74.0,1.02
dL[157],8.349,0.08,8.232,8.45,0.008,0.006,274.0,76.0,1.02
dL[158],0.919,0.004,0.916,0.923,0.0,0.0,1150.0,469.0,1.0
dL[159],0.981,0.004,0.978,0.985,0.0,0.0,1425.0,662.0,1.0
dL[160],15.576,0.211,15.283,15.844,0.022,0.016,267.0,73.0,1.02
dL[161],10.535,0.117,10.372,10.687,0.012,0.008,272.0,75.0,1.02
dL[162],11.726,0.138,11.534,11.904,0.014,0.01,271.0,75.0,1.02
dL[163],3.314,0.017,3.291,3.334,0.001,0.001,402.0,118.0,1.02
dL[164],13.664,0.174,13.421,13.885,0.018,0.013,268.0,74.0,1.02
dL[165],8.145,0.077,8.033,8.242,0.007,0.005,276.0,77.0,1.02
dL[166],14.038,0.181,13.785,14.268,0.018,0.013,268.0,74.0,1.02
dL[167],2.738,0.012,2.722,2.752,0.001,0.001,450.0,140.0,1.02
dL[168],13.877,0.178,13.629,14.104,0.018,0.013,268.0,74.0,1.02
dL[169],2.551,0.011,2.536,2.563,0.001,0.0,475.0,139.0,1.02
dL[170],3.972,0.023,3.941,4.001,0.002,0.001,329.0,114.0,1.02
dL[171],8.706,0.086,8.581,8.815,0.008,0.006,274.0,76.0,1.02
dL[172],1.481,0.006,1.476,1.486,0.0,0.0,1257.0,1142.0,1.0
dL[173],7.203,0.063,7.112,7.283,0.006,0.004,279.0,78.0,1.02
dL[174],3.193,0.016,3.173,3.213,0.001,0.001,413.0,129.0,1.02
dL[175],8.139,0.077,8.027,8.236,0.007,0.005,276.0,77.0,1.02
dL[176],3.609,0.019,3.583,3.633,0.001,0.001,364.0,115.0,1.02
dL[177],2.903,0.014,2.886,2.919,0.001,0.001,434.0,126.0,1.02
dL[178],6.318,0.05,6.249,6.385,0.005,0.003,283.0,79.0,1.02
dL[179],2.408,0.01,2.396,2.419,0.001,0.0,500.0,149.0,1.02
dL[180],14.813,0.196,14.541,15.063,0.02,0.014,267.0,74.0,1.02
dL[181],2.413,0.01,2.4,2.424,0.001,0.0,499.0,148.0,1.02
dL[182],2.579,0.011,2.565,2.591,0.001,0.0,469.0,139.0,1.02
dL[183],9.183,0.094,9.047,9.301,0.009,0.007,273.0,76.0,1.02
dL[184],2.277,0.01,2.267,2.289,0.0,0.0,527.0,149.0,1.02
dL[185],9.495,0.099,9.355,9.623,0.01,0.007,273.0,76.0,1.02
dL[186],11.889,0.141,11.692,12.07,0.014,0.01,270.0,75.0,1.02
dL[187],1.272,0.005,1.268,1.276,0.0,0.0,2016.0,1694.0,1.0
dL[188],6.522,0.053,6.446,6.59,0.005,0.004,281.0,79.0,1.02
dL[189],1.044,0.004,1.041,1.048,0.0,0.0,1718.0,935.0,1.0
dL[190],1.451,0.006,1.446,1.456,0.0,0.0,1353.0,1216.0,1.0
dL[191],14.387,0.188,14.125,14.626,0.019,0.014,267.0,74.0,1.02
dL[192],3.901,0.022,3.871,3.929,0.002,0.001,335.0,115.0,1.01
dL[193],9.377,0.097,9.239,9.502,0.01,0.007,273.0,76.0,1.02
dL[194],7.737,0.071,7.641,7.833,0.007,0.005,276.0,77.0,1.02
dL[195],5.115,0.035,5.066,5.161,0.003,0.002,289.0,81.0,1.02
dL[196],11.696,0.137,11.504,11.872,0.014,0.01,271.0,75.0,1.02
dL[197],15.5,0.209,15.209,15.766,0.021,0.015,267.0,73.0,1.02
dL[198],13.203,0.165,12.972,13.414,0.017,0.012,269.0,75.0,1.02
dL[199],2.797,0.013,2.78,2.812,0.001,0.001,444.0,133.0,1.02
dL[200],0.743,0.003,0.741,0.746,0.0,0.0,710.0,394.0,1.0
dL[201],0.379,0.002,0.377,0.381,0.0,0.0,407.0,150.0,1.01
dL[202],1.439,0.006,1.434,1.444,0.0,0.0,1396.0,1283.0,1.0
dL[203],13.761,0.176,13.516,13.985,0.018,0.013,268.0,74.0,1.02
dL[204],10.112,0.109,9.958,10.254,0.011,0.008,272.0,75.0,1.02
dL[205],12.817,0.158,12.597,13.019,0.016,0.011,269.0,75.0,1.02
dL[206],5.312,0.037,5.261,5.362,0.003,0.002,288.0,81.0,1.02
dL[207],0.343,0.002,0.341,0.344,0.0,0.0,395.0,144.0,1.01
dL[208],11.73,0.138,11.538,11.908,0.014,0.01,271.0,75.0,1.02
dL[209],1.057,0.004,1.054,1.061,0.0,0.0,1783.0,936.0,1.0
dL[210],7.747,0.071,7.651,7.843,0.007,0.005,276.0,77.0,1.02
dL[211],1.066,0.004,1.063,1.07,0.0,0.0,1814.0,916.0,1.0
dL[212],4.174,0.025,4.139,4.204,0.002,0.001,316.0,114.0,1.02
dL[213],0.504,0.002,0.502,0.506,0.0,0.0,463.0,186.0,1.01
dL[214],9.79,0.104,9.642,9.924,0.01,0.007,272.0,76.0,1.02
dL[215],15.747,0.214,15.45,16.02,0.022,0.016,267.0,73.0,1.02
dL[216],7.247,0.063,7.156,7.328,0.006,0.004,278.0,78.0,1.02
dL[217],7.268,0.064,7.176,7.349,0.006,0.004,278.0,78.0,1.02
dL[218],13.95,0.179,13.7,14.178,0.018,0.013,268.0,74.0,1.02
dL[219],14.526,0.19,14.262,14.769,0.019,0.014,267.0,74.0,1.02
dL[220],0.376,0.002,0.375,0.378,0.0,0.0,406.0,150.0,1.01
dL[221],13.01,0.161,12.784,13.216,0.016,0.012,269.0,75.0,1.02
dL[222],14.845,0.196,14.572,15.096,0.02,0.014,267.0,74.0,1.02
dL[223],11.354,0.131,11.171,11.523,0.013,0.009,271.0,75.0,1.02
dL[224],8.388,0.081,8.271,8.49,0.008,0.006,274.0,76.0,1.02
dL[225],10.557,0.117,10.393,10.709,0.012,0.008,272.0,75.0,1.02
dL[226],4.637,0.03,4.595,4.674,0.002,0.002,295.0,83.0,1.02
dL[227],13.056,0.162,12.83,13.264,0.016,0.012,269.0,75.0,1.02
dL[228],5.324,0.038,5.272,5.373,0.003,0.002,287.0,81.0,1.02
dL[229],7.594,0.069,7.495,7.681,0.007,0.005,277.0,77.0,1.02
dL[230],14.97,0.199,14.694,15.224,0.02,0.015,267.0,73.0,1.02
dL[231],7.918,0.073,7.811,8.01,0.007,0.005,276.0,77.0,1.02
dL[232],0.34,0.002,0.339,0.342,0.0,0.0,394.0,144.0,1.01
dL[233],0.341,0.002,0.34,0.342,0.0,0.0,394.0,144.0,1.01
dL[234],3.687,0.02,3.659,3.711,0.001,0.001,356.0,115.0,1.02
dL[235],15.046,0.2,14.768,15.302,0.021,0.015,267.0,73.0,1.02
dL[236],4.842,0.032,4.797,4.883,0.003,0.002,292.0,82.0,1.02
dL[237],3.122,0.015,3.101,3.14,0.001,0.001,417.0,130.0,1.02
dL[238],7.809,0.072,7.712,7.907,0.007,0.005,276.0,77.0,1.02
