,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.7,0.006,0.689,0.71,0.0,0.0,3002.0,2797.0,1.0
Omega_m,0.289,0.018,0.257,0.32,0.0,0.0,2679.0,2559.0,1.0
dL[0],8.937,0.061,8.836,9.036,0.001,0.001,5143.0,3454.0,1.0
dL[1],11.352,0.09,11.194,11.494,0.002,0.001,4323.0,3140.0,1.0
dL[2],7.438,0.045,7.363,7.509,0.001,0.001,6290.0,4517.0,1.0
dL[3],5.963,0.031,5.911,6.013,0.0,0.0,8825.0,7107.0,1.0
dL[4],4.139,0.019,4.107,4.17,0.0,0.0,13059.0,9327.0,1.0
dL[5],10.899,0.085,10.751,11.031,0.002,0.001,4423.0,3196.0,1.0
dL[6],12.443,0.105,12.268,12.614,0.002,0.002,4132.0,3194.0,1.0
dL[7],8.755,0.059,8.656,8.849,0.001,0.001,5245.0,3402.0,1.0
dL[8],1.663,0.01,1.646,1.68,0.0,0.0,4019.0,3704.0,1.0
dL[9],4.461,0.021,4.425,4.494,0.0,0.0,13591.0,9458.0,1.0
dL[10],8.263,0.053,8.173,8.348,0.001,0.001,5554.0,3538.0,1.0
dL[11],15.538,0.148,15.286,15.777,0.003,0.002,3812.0,2976.0,1.0
dL[12],12.705,0.108,12.524,12.882,0.002,0.002,4095.0,3147.0,1.0
dL[13],13.458,0.119,13.257,13.65,0.003,0.002,4001.0,3116.0,1.0
dL[14],7.374,0.044,7.298,7.443,0.001,0.001,6362.0,4610.0,1.0
dL[15],4.185,0.019,4.152,4.215,0.0,0.0,13181.0,9328.0,1.0
dL[16],8.627,0.057,8.532,8.72,0.001,0.001,5321.0,3426.0,1.0
dL[17],7.396,0.044,7.32,7.465,0.001,0.001,6337.0,4586.0,1.0
dL[18],10.212,0.076,10.082,10.333,0.002,0.001,4607.0,3266.0,1.0
dL[19],2.923,0.014,2.899,2.946,0.0,0.0,6942.0,7619.0,1.0
