,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.665,0.014,0.653,0.676,0.001,0.001,1080.0,536.0,1.0
Omega_m,0.354,0.035,0.316,0.395,0.003,0.002,1097.0,527.0,1.0
dL[0],3.149,0.022,3.125,3.176,0.002,0.001,1543.0,700.0,1.0
dL[1],9.685,0.13,9.561,9.793,0.013,0.009,1471.0,602.0,1.0
dL[2],6.797,0.048,6.73,6.86,0.003,0.003,1766.0,782.0,1.0
dL[3],5.989,0.033,5.936,6.041,0.002,0.001,2178.0,979.0,1.0
dL[4],5.808,0.031,5.756,5.857,0.001,0.001,2364.0,998.0,1.0
dL[5],8.99,0.107,8.875,9.081,0.01,0.007,1504.0,624.0,1.0
dL[6],7.083,0.054,7.009,7.148,0.004,0.003,1679.0,776.0,1.0
dL[7],9.965,0.14,9.834,10.078,0.014,0.01,1459.0,605.0,1.0
dL[8],12.325,0.236,12.141,12.485,0.025,0.018,1391.0,574.0,1.0
dL[9],7.338,0.06,7.258,7.405,0.005,0.004,1642.0,761.0,1.0
dL[10],8.238,0.084,8.145,8.323,0.008,0.006,1555.0,702.0,1.0
dL[11],12.0,0.221,11.824,12.154,0.023,0.017,1398.0,582.0,1.0
dL[12],14.481,0.34,14.24,14.681,0.037,0.026,1361.0,566.0,1.0
dL[13],9.752,0.133,9.626,9.861,0.013,0.01,1467.0,601.0,1.0
dL[14],5.58,0.028,5.532,5.626,0.001,0.001,2912.0,1049.0,1.0
dL[15],4.638,0.021,4.602,4.674,0.0,0.0,3271.0,1215.0,1.0
dL[16],10.506,0.16,10.363,10.629,0.016,0.012,1439.0,586.0,1.0
dL[17],7.444,0.063,7.362,7.513,0.005,0.004,1628.0,761.0,1.0
dL[18],4.433,0.021,4.399,4.468,0.001,0.0,2694.0,918.0,1.0
dL[19],1.574,0.019,1.558,1.591,0.002,0.001,1192.0,557.0,1.0
dL[20],2.376,0.022,2.356,2.399,0.002,0.001,1332.0,604.0,1.0
dL[21],8.9,0.104,8.788,8.991,0.01,0.007,1509.0,648.0,1.0
dL[22],2.951,0.022,2.928,2.976,0.002,0.001,1482.0,685.0,1.0
dL[23],4.672,0.021,4.636,4.709,0.0,0.0,3501.0,1310.0,1.0
dL[24],9.595,0.127,9.474,9.703,0.013,0.009,1475.0,617.0,1.0
dL[25],8.334,0.087,8.239,8.421,0.008,0.006,1548.0,682.0,1.0
dL[26],2.741,0.022,2.718,2.765,0.002,0.001,1422.0,669.0,1.0
dL[27],11.665,0.207,11.491,11.806,0.022,0.016,1406.0,589.0,1.0
dL[28],11.433,0.197,11.267,11.572,0.021,0.015,1411.0,588.0,1.0
dL[29],10.398,0.156,10.258,10.519,0.016,0.011,1442.0,596.0,1.0
dL[30],11.161,0.186,11.004,11.298,0.019,0.014,1419.0,588.0,1.0
dL[31],5.534,0.027,5.486,5.58,0.001,0.0,3186.0,1281.0,1.0
dL[32],12.468,0.242,12.28,12.631,0.026,0.018,1388.0,576.0,1.0
dL[33],10.767,0.17,10.619,10.895,0.018,0.013,1430.0,584.0,1.0
dL[34],5.171,0.024,5.128,5.211,0.0,0.0,10231.0,8412.0,1.0
dL[35],8.298,0.086,8.204,8.385,0.008,0.006,1551.0,679.0,1.0
dL[36],8.999,0.107,8.884,9.091,0.01,0.007,1504.0,628.0,1.0
dL[37],7.466,0.063,7.384,7.536,0.005,0.004,1626.0,746.0,1.0
dL[38],10.137,0.146,10.003,10.253,0.015,0.011,1452.0,594.0,1.0
dL[39],12.811,0.258,12.61,12.976,0.027,0.02,1383.0,560.0,1.0
dL[40],7.06,0.054,6.987,7.125,0.004,0.003,1684.0,776.0,1.0
dL[41],3.702,0.021,3.674,3.731,0.001,0.001,1810.0,807.0,1.0
dL[42],6.671,0.045,6.606,6.731,0.003,0.002,1810.0,825.0,1.0
dL[43],7.148,0.056,7.074,7.215,0.004,0.003,1668.0,777.0,1.0
dL[44],15.27,0.381,15.009,15.487,0.041,0.03,1355.0,569.0,1.0
dL[45],5.036,0.023,4.995,5.075,0.0,0.0,10620.0,8693.0,1.0
dL[46],12.443,0.241,12.255,12.604,0.026,0.018,1389.0,576.0,1.0
dL[47],15.632,0.401,15.361,15.857,0.043,0.031,1352.0,569.0,1.0
