,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.677,0.007,0.666,0.688,0.0,0.0,2378.0,2107.0,1.0
Omega_m,0.283,0.019,0.251,0.318,0.001,0.0,2034.0,1921.0,1.0
dL[0],2.423,0.015,2.402,2.444,0.0,0.0,4434.0,4776.0,1.0
dL[1],6.575,0.046,6.515,6.631,0.001,0.001,5200.0,3779.0,1.0
dL[2],7.685,0.058,7.602,7.757,0.001,0.001,4170.0,3217.0,1.0
dL[3],1.212,0.009,1.198,1.226,0.0,0.0,2858.0,2694.0,1.0
dL[4],11.852,0.117,11.687,12.016,0.003,0.002,2984.0,2760.0,1.0
dL[5],4.439,0.027,4.406,4.47,0.0,0.0,13737.0,8677.0,1.0
dL[6],5.342,0.034,5.3,5.382,0.001,0.0,9067.0,5919.0,1.0
dL[7],10.066,0.09,9.933,10.183,0.002,0.002,3266.0,3027.0,1.0
dL[8],5.597,0.036,5.551,5.639,0.001,0.001,7671.0,4548.0,1.0
dL[9],10.065,0.09,9.932,10.182,0.002,0.002,3266.0,3027.0,1.0
dL[10],8.818,0.073,8.715,8.912,0.002,0.001,3613.0,3149.0,1.0
dL[11],11.73,0.115,11.566,11.89,0.003,0.002,2999.0,2762.0,1.0
dL[12],2.638,0.016,2.616,2.659,0.0,0.0,5023.0,5339.0,1.0
dL[13],2.19,0.014,2.169,2.209,0.0,0.0,3945.0,4119.0,1.0
dL[14],13.407,0.142,13.193,13.597,0.004,0.003,2833.0,2569.0,1.0
dL[15],14.273,0.156,14.038,14.485,0.005,0.003,2775.0,2539.0,1.0
dL[16],10.294,0.093,10.161,10.42,0.003,0.002,3220.0,2989.0,1.0
dL[17],4.589,0.028,4.553,4.62,0.0,0.0,13691.0,8643.0,1.0
dL[18],2.137,0.014,2.117,2.156,0.0,0.0,3854.0,3902.0,1.0
dL[19],4.629,0.028,4.594,4.661,0.001,0.0,13619.0,8629.0,1.0
dL[20],14.892,0.166,14.639,15.117,0.005,0.004,2739.0,2524.0,1.0
dL[21],6.124,0.041,6.073,6.175,0.001,0.001,5979.0,3832.0,1.0
dL[22],12.785,0.132,12.586,12.96,0.004,0.003,2886.0,2674.0,1.0
dL[23],12.462,0.126,12.279,12.637,0.004,0.003,2916.0,2754.0,1.0
dL[24],2.695,0.017,2.673,2.717,0.0,0.0,5209.0,5646.0,1.0
dL[25],14.462,0.159,14.222,14.679,0.005,0.003,2763.0,2545.0,1.0
dL[26],11.189,0.107,11.035,11.334,0.003,0.002,3069.0,2903.0,1.0
dL[27],11.264,0.108,11.111,11.413,0.003,0.002,3058.0,2891.0,1.0
dL[28],5.355,0.034,5.313,5.395,0.001,0.0,8984.0,5954.0,1.0
dL[29],7.134,0.052,7.063,7.197,0.001,0.001,4581.0,3216.0,1.0
dL[30],5.938,0.039,5.887,5.985,0.001,0.001,6454.0,4068.0,1.0
dL[31],8.203,0.065,8.113,8.286,0.002,0.001,3876.0,3160.0,1.0
dL[32],1.062,0.008,1.05,1.075,0.0,0.0,2769.0,2626.0,1.0
dL[33],14.664,0.163,14.418,14.885,0.005,0.003,2751.0,2524.0,1.0
dL[34],2.034,0.014,2.015,2.052,0.0,0.0,3689.0,3704.0,1.0
dL[35],10.248,0.093,10.116,10.374,0.003,0.002,3229.0,2979.0,1.0
dL[36],13.846,0.149,13.619,14.046,0.004,0.003,2801.0,2541.0,1.0
dL[37],9.319,0.08,9.207,9.424,0.002,0.001,3451.0,3086.0,1.0
dL[38],11.668,0.114,11.506,11.826,0.003,0.002,3006.0,2758.0,1.0
dL[39],2.601,0.016,2.579,2.622,0.0,0.0,4908.0,5273.0,1.0
dL[40],6.657,0.047,6.596,6.715,0.001,0.001,5096.0,3757.0,1.0
dL[41],4.708,0.029,4.672,4.74,0.001,0.0,13438.0,8659.0,1.0
dL[42],11.321,0.109,11.166,11.471,0.003,0.002,3050.0,2793.0,1.0
dL[43],13.654,0.146,13.44,13.856,0.004,0.003,2815.0,2517.0,1.0
dL[44],7.777,0.06,7.693,7.85,0.001,0.001,4113.0,3191.0,1.0
dL[45],3.821,0.023,3.793,3.848,0.0,0.0,10662.0,8893.0,1.0
dL[46],5.61,0.036,5.564,5.652,0.001,0.001,7611.0,4470.0,1.0
dL[47],7.814,0.06,7.729,7.888,0.001,0.001,4089.0,3200.0,1.0
dL[48],11.41,0.11,11.253,11.562,0.003,0.002,3039.0,2792.0,1.0
dL[49],10.308,0.094,10.175,10.435,0.003,0.002,3217.0,2989.0,1.0
dL[50],9.339,0.08,9.226,9.445,0.002,0.001,3445.0,3094.0,1.0
dL[51],11.069,0.105,10.918,11.212,0.003,0.002,3086.0,2903.0,1.0
dL[52],5.38,0.034,5.338,5.421,0.001,0.0,8816.0,5894.0,1.0
dL[53],8.625,0.07,8.527,8.716,0.002,0.001,3686.0,3169.0,1.0
dL[54],5.284,0.033,5.242,5.323,0.001,0.0,9477.0,6208.0,1.0
dL[55],8.526,0.069,8.43,8.615,0.002,0.001,3726.0,3166.0,1.0
dL[56],13.905,0.15,13.677,14.106,0.004,0.003,2797.0,2538.0,1.0
dL[57],11.756,0.115,11.592,11.917,0.003,0.002,2996.0,2762.0,1.0
dL[58],4.509,0.027,4.475,4.54,0.0,0.0,13764.0,8740.0,1.0
dL[59],4.032,0.024,4.003,4.06,0.0,0.0,12082.0,9053.0,1.0
dL[60],6.608,0.046,6.547,6.665,0.001,0.001,5158.0,3774.0,1.0
dL[61],7.792,0.06,7.708,7.866,0.001,0.001,4101.0,3201.0,1.0
dL[62],6.553,0.046,6.494,6.609,0.001,0.001,5227.0,3784.0,1.0
dL[63],7.029,0.051,6.96,7.09,0.001,0.001,4677.0,3567.0,1.0
dL[64],11.421,0.11,11.265,11.574,0.003,0.002,3038.0,2792.0,1.0
dL[65],9.095,0.077,8.988,9.196,0.002,0.001,3518.0,3205.0,1.0
dL[66],15.809,0.182,15.532,16.058,0.005,0.004,2693.0,2438.0,1.0
dL[67],13.506,0.143,13.294,13.704,0.004,0.003,2825.0,2558.0,1.0
dL[68],1.334,0.01,1.319,1.349,0.0,0.0,2941.0,2756.0,1.0
dL[69],6.33,0.043,6.274,6.383,0.001,0.001,5568.0,3772.0,1.0
dL[70],3.394,0.02,3.369,3.419,0.0,0.0,8080.0,7971.0,1.0
dL[71],9.482,0.082,9.367,9.591,0.002,0.002,3407.0,3077.0,1.0
dL[72],4.035,0.024,4.006,4.064,0.0,0.0,12105.0,9053.0,1.0
dL[73],4.143,0.025,4.113,4.172,0.0,0.0,12747.0,8943.0,1.0
dL[74],15.001,0.168,14.746,15.23,0.005,0.004,2733.0,2512.0,1.0
dL[75],6.046,0.04,5.994,6.094,0.001,0.001,6160.0,3852.0,1.0
dL[76],1.858,0.013,1.84,1.876,0.0,0.0,3445.0,3260.0,1.0
dL[77],9.902,0.088,9.778,10.021,0.002,0.002,3302.0,3047.0,1.0
dL[78],10.195,0.092,10.064,10.319,0.002,0.002,3239.0,2979.0,1.0
dL[79],15.365,0.174,15.1,15.602,0.005,0.004,2714.0,2514.0,1.0
dL[80],0.864,0.007,0.853,0.875,0.0,0.0,2667.0,2455.0,1.0
dL[81],9.062,0.076,8.956,9.162,0.002,0.001,3529.0,3201.0,1.0
dL[82],10.614,0.098,10.477,10.75,0.003,0.002,3161.0,2980.0,1.0
dL[83],0.994,0.008,0.983,1.007,0.0,0.0,2732.0,2585.0,1.0
dL[84],8.32,0.066,8.227,8.405,0.002,0.001,3818.0,3126.0,1.0
dL[85],15.48,0.176,15.211,15.72,0.005,0.004,2708.0,2508.0,1.0
dL[86],4.96,0.031,4.923,4.996,0.001,0.0,12226.0,8465.0,1.0
dL[87],5.202,0.033,5.16,5.24,0.001,0.0,10121.0,7344.0,1.0
dL[88],8.412,0.068,8.317,8.499,0.002,0.001,3775.0,3158.0,1.0
dL[89],5.003,0.031,4.966,5.04,0.001,0.0,11954.0,8382.0,1.0
dL[90],4.627,0.028,4.592,4.659,0.001,0.0,13623.0,8629.0,1.0
dL[91],10.684,0.099,10.54,10.816,0.003,0.002,3149.0,2978.0,1.0
dL[92],16.119,0.187,15.832,16.374,0.006,0.004,2680.0,2436.0,1.0
dL[93],10.639,0.098,10.496,10.77,0.003,0.002,3156.0,2980.0,1.0
dL[94],4.559,0.028,4.524,4.59,0.0,0.0,13725.0,8572.0,1.0
dL[95],10.656,0.099,10.512,10.787,0.003,0.002,3153.0,2978.0,1.0
dL[96],10.011,0.089,9.879,10.126,0.002,0.002,3278.0,3027.0,1.0
dL[97],8.763,0.072,8.662,8.856,0.002,0.001,3631.0,3149.0,1.0
dL[98],6.157,0.042,6.106,6.209,0.001,0.001,5907.0,3800.0,1.0
dL[99],5.286,0.033,5.243,5.324,0.001,0.0,9466.0,6208.0,1.0
dL[100],7.335,0.054,7.26,7.402,0.001,0.001,4413.0,3295.0,1.0
dL[101],12.815,0.132,12.616,12.992,0.004,0.003,2883.0,2678.0,1.0
dL[102],1.822,0.013,1.805,1.84,0.0,0.0,3401.0,3130.0,1.0
dL[103],8.459,0.068,8.363,8.546,0.002,0.001,3755.0,3166.0,1.0
dL[104],11.244,0.107,11.091,11.392,0.003,0.002,3061.0,2891.0,1.0
dL[105],7.843,0.06,7.758,7.918,0.001,0.001,4072.0,3188.0,1.0
dL[106],14.872,0.166,14.621,15.099,0.005,0.004,2740.0,2520.0,1.0
dL[107],7.732,0.059,7.649,7.804,0.001,0.001,4142.0,3188.0,1.0
dL[108],8.418,0.068,8.323,8.504,0.002,0.001,3773.0,3158.0,1.0
dL[109],10.63,0.098,10.492,10.766,0.003,0.002,3158.0,2980.0,1.0
dL[110],16.216,0.189,15.926,16.473,0.006,0.004,2676.0,2440.0,1.0
dL[111],8.209,0.065,8.118,8.292,0.002,0.001,3874.0,3160.0,1.0
dL[112],3.291,0.02,3.266,3.315,0.0,0.0,7581.0,7589.0,1.0
dL[113],9.33,0.08,9.218,9.436,0.002,0.001,3448.0,3094.0,1.0
dL[114],14.068,0.153,13.836,14.274,0.004,0.003,2787.0,2557.0,1.0
