,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.906,0.013,0.889,0.923,0.0,0.0,2606.0,2388.0,1.0
Omega_m,0.448,0.03,0.402,0.499,0.001,0.001,2527.0,2256.0,1.0
dL[0],6.5,0.066,6.42,6.575,0.001,0.001,3884.0,3460.0,1.0
dL[1],8.913,0.105,8.778,9.036,0.003,0.002,3419.0,3146.0,1.0
dL[2],2.007,0.015,1.991,2.022,0.0,0.0,7163.0,5813.0,1.0
dL[3],5.984,0.058,5.916,6.052,0.001,0.001,4083.0,3471.0,1.0
dL[4],4.716,0.041,4.669,4.759,0.001,0.001,5070.0,3995.0,1.0
dL[5],5.663,0.053,5.604,5.727,0.001,0.001,4246.0,3478.0,1.0
dL[6],5.421,0.05,5.365,5.479,0.001,0.001,4402.0,3484.0,1.0
dL[7],4.966,0.044,4.916,5.015,0.001,0.001,4786.0,3652.0,1.0
dL[8],10.165,0.126,10.002,10.318,0.003,0.002,3307.0,3039.0,1.0
dL[9],5.796,0.055,5.732,5.86,0.001,0.001,4175.0,3479.0,1.0
dL[10],3.167,0.024,3.143,3.19,0.0,0.0,12159.0,9785.0,1.0
dL[11],2.067,0.016,2.051,2.082,0.0,0.0,7575.0,6082.0,1.0
dL[12],4.556,0.039,4.513,4.597,0.001,0.001,5292.0,4157.0,1.0
dL[13],5.398,0.05,5.343,5.457,0.001,0.001,4417.0,3492.0,1.0
dL[14],3.794,0.03,3.762,3.825,0.0,0.0,7086.0,4748.0,1.0
dL[15],9.02,0.106,8.883,9.147,0.003,0.002,3407.0,3130.0,1.0
dL[16],4.226,0.035,4.188,4.262,0.001,0.0,5880.0,4542.0,1.0
dL[17],4.757,0.041,4.709,4.8,0.001,0.001,5019.0,3980.0,1.0
dL[18],9.646,0.117,9.502,9.794,0.003,0.002,3347.0,3092.0,1.0
dL[19],4.343,0.036,4.303,4.381,0.001,0.0,5649.0,4422.0,1.0
dL[20],4.659,0.04,4.615,4.703,0.001,0.001,5146.0,4060.0,1.0
dL[21],6.671,0.068,6.589,6.751,0.002,0.001,3825.0,3427.0,1.0
dL[22],7.545,0.082,7.443,7.641,0.002,0.001,3617.0,3323.0,1.0
dL[23],5.434,0.05,5.378,5.493,0.001,0.001,4392.0,3493.0,1.0
dL[24],0.93,0.009,0.92,0.941,0.0,0.0,3197.0,3114.0,1.0
dL[25],9.604,0.116,9.455,9.745,0.003,0.002,3351.0,3092.0,1.0
dL[26],6.024,0.059,5.956,6.092,0.001,0.001,4065.0,3478.0,1.0
dL[27],6.843,0.071,6.758,6.927,0.002,0.001,3776.0,3389.0,1.0
dL[28],4.907,0.043,4.857,4.953,0.001,0.001,4846.0,3674.0,1.0
dL[29],7.526,0.082,7.424,7.622,0.002,0.001,3621.0,3323.0,1.0
dL[30],2.221,0.017,2.205,2.237,0.0,0.0,8826.0,6454.0,1.0
dL[31],6.331,0.063,6.257,6.406,0.001,0.001,3942.0,3487.0,1.0
dL[32],10.099,0.125,9.944,10.257,0.003,0.002,3311.0,3040.0,1.0
dL[33],2.176,0.016,2.16,2.192,0.0,0.0,8441.0,6396.0,1.0
dL[34],2.994,0.023,2.972,3.016,0.0,0.0,13799.0,10195.0,1.0
dL[35],9.55,0.116,9.401,9.689,0.003,0.002,3356.0,3118.0,1.0
dL[36],8.386,0.096,8.266,8.502,0.002,0.002,3482.0,3201.0,1.0
dL[37],0.807,0.008,0.798,0.818,0.0,0.0,3050.0,3015.0,1.0
dL[38],3.826,0.031,3.794,3.857,0.0,0.0,6967.0,4581.0,1.0
dL[39],7.364,0.079,7.266,7.457,0.002,0.001,3653.0,3345.0,1.0
dL[40],7.107,0.075,7.013,7.194,0.002,0.001,3710.0,3405.0,1.0
dL[41],9.1,0.108,8.962,9.229,0.003,0.002,3399.0,3141.0,1.0
dL[42],5.569,0.052,5.511,5.631,0.001,0.001,4302.0,3497.0,1.0
dL[43],5.287,0.048,5.234,5.344,0.001,0.001,4500.0,3540.0,1.0
dL[44],3.434,0.027,3.407,3.46,0.0,0.0,9214.0,6482.0,1.0
dL[45],6.783,0.07,6.697,6.864,0.002,0.001,3793.0,3386.0,1.0
dL[46],0.815,0.008,0.805,0.825,0.0,0.0,3058.0,3023.0,1.0
dL[47],9.711,0.118,9.561,9.856,0.003,0.002,3342.0,3068.0,1.0
dL[48],8.279,0.094,8.162,8.392,0.002,0.002,3497.0,3191.0,1.0
dL[49],6.284,0.062,6.211,6.358,0.001,0.001,3959.0,3486.0,1.0
dL[50],3.177,0.024,3.153,3.2,0.0,0.0,12050.0,9713.0,1.0
dL[51],3.414,0.026,3.388,3.441,0.0,0.0,9392.0,6969.0,1.0
dL[52],1.19,0.01,1.178,1.202,0.0,0.0,3637.0,3468.0,1.0
dL[53],10.025,0.124,9.872,10.182,0.003,0.002,3317.0,3038.0,1.0
dL[54],3.998,0.033,3.964,4.032,0.001,0.0,6441.0,4549.0,1.0
dL[55],3.847,0.031,3.815,3.878,0.0,0.0,6892.0,4554.0,1.0
dL[56],6.933,0.072,6.843,7.016,0.002,0.001,3753.0,3403.0,1.0
dL[57],7.451,0.08,7.352,7.546,0.002,0.001,3636.0,3332.0,1.0
dL[58],2.065,0.016,2.049,2.08,0.0,0.0,7558.0,6074.0,1.0
dL[59],4.759,0.041,4.711,4.802,0.001,0.001,5017.0,3980.0,1.0
dL[60],10.522,0.133,10.356,10.689,0.003,0.002,3282.0,3023.0,1.0
dL[61],4.032,0.033,3.998,4.066,0.001,0.0,6347.0,4553.0,1.0
dL[62],3.905,0.031,3.872,3.937,0.001,0.0,6701.0,4553.0,1.0
dL[63],3.787,0.03,3.755,3.817,0.0,0.0,7113.0,4762.0,1.0
dL[64],1.932,0.015,1.917,1.947,0.0,0.0,6650.0,5822.0,1.0
dL[65],9.254,0.11,9.112,9.386,0.003,0.002,3383.0,3133.0,1.0
dL[66],5.281,0.048,5.228,5.337,0.001,0.001,4505.0,3533.0,1.0
dL[67],4.565,0.039,4.522,4.606,0.001,0.001,5278.0,4139.0,1.0
dL[68],6.041,0.059,5.973,6.11,0.001,0.001,4057.0,3487.0,1.0
dL[69],1.597,0.013,1.583,1.611,0.0,0.0,4884.0,4826.0,1.0
