,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.702,0.009,0.692,0.711,0.0,0.0,521.0,365.0,1.01
Omega_m,0.244,0.085,0.075,0.39,0.006,0.004,202.0,237.0,1.03
omega_0,-0.746,0.352,-1.464,-0.282,0.03,0.022,149.0,134.0,1.04
Xi_0,1.07,0.107,0.848,1.227,0.008,0.006,207.0,121.0,1.02
dL[0],8.134,0.187,8.051,8.266,0.015,0.011,568.0,230.0,1.01
dL[1],2.899,0.043,2.882,2.925,0.003,0.002,772.0,354.0,1.0
dL[2],7.954,0.181,7.869,8.076,0.015,0.011,554.0,244.0,1.01
dL[3],5.935,0.122,5.88,6.009,0.01,0.007,379.0,257.0,1.01
dL[4],15.567,0.45,15.227,16.032,0.033,0.024,385.0,268.0,1.01
dL[5],5.925,0.121,5.87,6.0,0.01,0.007,379.0,257.0,1.01
dL[6],7.41,0.165,7.338,7.522,0.014,0.01,496.0,232.0,1.01
dL[7],8.081,0.185,7.993,8.206,0.015,0.011,564.0,239.0,1.01
dL[8],11.603,0.302,11.433,11.864,0.023,0.017,542.0,235.0,1.01
dL[9],9.997,0.247,9.875,10.195,0.02,0.014,597.0,230.0,1.01
dL[10],2.93,0.044,2.913,2.956,0.003,0.002,755.0,354.0,1.0
dL[11],13.798,0.382,13.507,14.136,0.028,0.02,444.0,242.0,1.01
dL[12],1.919,0.023,1.908,1.934,0.001,0.001,976.0,371.0,1.0
dL[13],9.998,0.247,9.876,10.196,0.02,0.014,597.0,230.0,1.01
dL[14],2.692,0.038,2.678,2.716,0.003,0.002,875.0,348.0,1.0
dL[15],6.239,0.13,6.18,6.318,0.011,0.008,396.0,246.0,1.01
dL[16],10.319,0.257,10.19,10.528,0.02,0.014,591.0,225.0,1.01
dL[17],11.527,0.299,11.362,11.787,0.023,0.016,545.0,234.0,1.01
dL[18],0.46,0.004,0.458,0.462,0.0,0.0,1384.0,559.0,1.0
dL[19],2.372,0.031,2.359,2.392,0.002,0.001,988.0,353.0,1.0
dL[20],0.88,0.007,0.876,0.884,0.0,0.0,681.0,988.0,1.01
dL[21],3.786,0.064,3.762,3.826,0.005,0.003,471.0,336.0,1.01
dL[22],14.703,0.416,14.388,15.104,0.031,0.022,411.0,260.0,1.01
dL[23],2.59,0.036,2.576,2.613,0.002,0.002,925.0,346.0,1.0
dL[24],2.73,0.039,2.715,2.754,0.003,0.002,857.0,350.0,1.0
dL[25],8.26,0.191,8.174,8.396,0.016,0.011,579.0,230.0,1.01
dL[26],7.182,0.158,7.106,7.281,0.013,0.009,472.0,227.0,1.01
dL[27],8.642,0.203,8.538,8.779,0.016,0.012,593.0,228.0,1.01
dL[28],11.469,0.297,11.303,11.723,0.023,0.016,548.0,234.0,1.01
dL[29],12.778,0.344,12.56,13.094,0.026,0.018,487.0,242.0,1.01
dL[30],10.465,0.262,10.331,10.678,0.021,0.015,586.0,238.0,1.01
dL[31],1.192,0.011,1.186,1.199,0.001,0.0,786.0,561.0,1.0
dL[32],7.795,0.176,7.712,7.912,0.014,0.01,540.0,235.0,1.01
dL[33],0.614,0.005,0.612,0.616,0.0,0.0,1055.0,606.0,1.0
dL[34],5.911,0.121,5.859,5.987,0.01,0.007,379.0,257.0,1.01
